Departamento,Municipio,Día,Barrio,Zona,Clase de sitio,Arma empleada,Móvil Agresor,Móvil Victima,Sexo,Estado civil,País de nacimiento,Clase de empleado,Escolaridad,Código DANE,Cantidad
ATLÁNTICO,BARRANQUILLA (CT),Martes,BENDICION DE DIOS,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,8001000,1
ATLÁNTICO,SABANALARGA,Martes,CUMACO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,UNION LIBRE,COLOMBIA,AGRICULTOR,PRIMARIA,8638000,1
BOLÍVAR,PINILLOS,Martes,BARRIO SAN MARTIN,URBANA,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,13549000,1
CESAR,SAN DIEGO,Martes,COR. LOS TUPES,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,20750000,1
CUNDINAMARCA,COGUA,Martes,VILLA NOHORA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,FEMENINO,VIUDO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,25200000,1
MAGDALENA,SANTA BÁRBARA DE PINTO,Martes,CORREGIMIENTO CUNDINAMARCA,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,47720000,1
SUCRE,SAN MARCOS,Martes,VEREDA EL TORNO,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,70708000,1
BOLÍVAR,ARJONA,Miércoles,SECTOR LA CANDELARIA,URBANA,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,FEMENINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,13052000,1
CASANARE,SAN LUIS DE PALENQUE,Miércoles,PIRICHIGUA,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,GANADERO,SUPERIOR,85325000,1
CAUCA,SUCRE,Miércoles,VDA EL TESORO,RURAL,POTREROS,ARMA DE FUEGO,A PIE,A PIE,FEMENINO,SOLTERO,COLOMBIA,AMA DE CASA,PRIMARIA,19785000,1
CUNDINAMARCA,SIBATÉ,Miércoles,VER.CHUSACA,URBANA,ESTABLECIMIENTO PUBLICO,NO REPORTADO,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,NO REPORTADO,25740000,1
CUNDINAMARCA,SUBACHOQUE,Miércoles,VER.EL VALLE,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,MASCULINO,UNION LIBRE,COLOMBIA,EMPLEADO PARTICULAR,TECNICO,25769000,1
GUAJIRA,FONSECA,Miércoles,TRAMO DE VIA,RURAL,FINCAS Y SIMILARES,NO REPORTADO,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,SECUNDARIA,44279000,1
META,PUERTO LÓPEZ,Miércoles,VEREDA PTO PORFIA,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,50573000,1
TOLIMA,COYAIMA,Miércoles,VRDA. TOTARCO,RURAL,FINCAS Y SIMILARES,ARMA BLANCA / CORTOPUNZANTE,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,SECUNDARIA,73217000,1
ANTIOQUIA,LA UNIÓN,Jueves,LA FRONTERA,URBANA,VIAS PUBLICAS,NO REPORTADO,A PIE,A PIE,MASCULINO,VIUDO,COLOMBIA,EMPLEADO PARTICULAR,PRIMARIA,5400000,1
ATLÁNTICO,CAMPO DE LA CRUZ,Jueves,ZONA RURAL,RURAL,FINCAS Y SIMILARES,SIN EMPLEO DE ARMAS,A PIE,A PIE,MASCULINO,SOLTERO,COLOMBIA,AGRICULTOR,PRIMARIA,8137000,1
