Año,Fecha,Muestreo No,Punto de muestreo,Punto,Rio,Cordenadas,ICA_IDEAM,OD (%),pH,DQO (mg/L),CE (µS/cm),SST (mg/L)
2012,ND,ND,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,(3.455889;-76.571089),0.77,117.71,7.64,22.30,205.00,8.00
2012,ND,ND,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,(3.457582;-76.561671),0.64,124.15,7.38,28.80,412.00,27.00
2012,ND,ND,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,(3.454159;-76.582725),0.70,63.44,7.20,93.00,99.00,2.80
2012,ND,ND,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,(3.505551;-76.494079),0.40,55.38,6.73,425.00,406.00,193.00
2012,ND,ND,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,(3.411012;-76.568899),0.76,86.59,7.32,25.90,186.00,5.00
2012,ND,ND,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,(3.406276;-76.526477),0.37,17.42,6.31,88.80,426.00,50.50
2012,ND,ND,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,(3.363799;-76.544643),0.45,60.99,5.70,212.70,339.00,12.00
2012,ND,ND,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,(3.362489;-76.523748),0.55,66.69,6.49,116.40,225.00,24.40
2012,ND,ND,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,(3.376495;-76.562282),0.73,69.32,7.10,190.00,71.80,6.40
2012,ND,ND,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,(3.388238;-76.511798),0.67,53.82,7.12,285.00,114.50,6.80
2012,ND,ND,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,(3.337867;-76.550058),0.80,97.80,6.96,121.10,36.90,2.40
