year,punto_de_muestreo,punto,rio,ica_ideam,od_percent,p_h,dqo_mg_l,ce_m_s_cm,sst_mg_l
2012,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,0.77,117.71000000000001,7.64,22.3,205,8
2012,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,0.64,124.14999999999999,7.38,28.8,412,27
2012,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,0.7,63.44,7.2,93,99,2.8
2012,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,0.4,55.379999999999995,6.73,425,406,193
2012,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,0.76,86.59,7.32,25.9,186,5
2012,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,0.37,17.419999999999998,6.31,88.8,426,50.5
2012,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,0.45,60.99,5.7,212.7,339,12
2012,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,0.55,66.69,6.49,116.4,225,24.4
2012,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,0.73,69.32,7.1,190,71.8,6.4
2012,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,0.67,53.82,7.12,285,114.5,6.8
2012,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,0.8,97.8,6.96,121.1,36.9,2.4
2012,"Salida ( Puente La Viga, Via Cañas Gordas)",Salida,Pance,0.73,98.02,6.08,130.1,38,10.4
2013,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,0.52,6.74,8.2,30,260,14.14
2013,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,0.32,4.99,7.93,78.72,402,20.66
2013,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,0.36,4.64,7.89,68.48,401,15.4
2013,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,0.66,7.74,7.29,7.03,131,7.43
2013,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,0.57,7.17,7.62,25.1,222,16.22
2013,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,0.63,7.319999999999999,7.72,18.07,229,17.55
2013,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,0.58,7.03,7.9,24.1,250,20.5
2013,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,0.53,6.08,7.63,21.08,307,13.46
2013,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,0.44,3.4,7.5,51.52,305,4.93
2013,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,0.48,5,7.31,25,227,6.8
2013,Intermedio  (Plaza de Toros),Intermedio,Cañaveralejo,0.35,2.2600000000000002,7.72,65.92,262,28.6
2013,"Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)",Salida,Cañaveralejo,0.12,1.55,6.82,167.68,466,115.8
2013,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,0.21,6.46,3.76,7.03,433,32.91
2013,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,0.36,6.24,5.81,6.02,347,26
2013,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,0.48,5.95,6.65,11.04,247,8.87
2013,"Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)",Entrada,Melendez,0.67,7.4,7.05,4,95.2,6.12
2013,"Intermedio (Pasoancho, Cra 80 Con Cll13)",Intermedio,Melendez,0.66,7.31,6.89,11,104.4,23.13
2013,"Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)",Intermedio,Melendez,0.57,4.37,6.93,21,148.3,8.83
2013,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,0.55,4.659999999999999,7.11,27,158.3,8.93
2013,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,0.71,6.89,7.6,8,41.9,9.26
2013,"Salida ( Puente La Viga, Via Cañas Gordas)",Salida,Pance,0.73,6.95,7.7,17,48.6,4.23
2014,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,0.51,6.2,7.25,21.53,261,4
2014,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,0.49,7.38,7.5,25.49,569,12.33
2014,"Salida(El Ancla, antes de desembocar el Rio Cali)",Salida,Aguacatal,0.51,7.6899999999999995,7.6,23.28,557,10
2014,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,0.66,7.71,7.45,14.86,98.5,6.17
2014,"Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)",Intermedio,Cali,0.57,7.03,7.05,24.26,342,8.75
2014,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,0.54,8.68,7.99,20.43,296,20.41
2014,"Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)",Intermedio,Cali,0.5,10.77,8.64,32.73,167.3,30
2014,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,0.48,9.1,8.51,39.55,289,9.5
2014,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,0.45,5.21,7.21,87.9,374,22.29
2014,Entrada al perimetro urbano (Colegio Ideas),Entrada,Cañaveralejo,0.53,5.68,7.29,23.15,205,6.17
