codigo_dane,municipio_productor,departamento,recurso_natural,nombre_del_proyecto,year,trimestre,unidad_medida,tipo_contraprestacion,valor_contraprestacion,cantidad_produccion
05001,Medellin,Antioquia,Oro,Productores,2012,Trimestre 1,Gramos,Regalia,54337944,16517
05001,Medellin,Antioquia,Oro,Productores,2012,Trimestre 1,Gramos,Regalia,61057047,19375
05001,Medellin,Antioquia,Oro,Productores,2012,Trimestre 1,Gramos,Regalia,78266238,24477
05001,Medellin,Antioquia,Plata,Productores,2012,Trimestre 1,Gramos,Regalia,179431,2972
05001,Medellin,Antioquia,Plata,Productores,2012,Trimestre 1,Gramos,Regalia,216835,3710
05001,Medellin,Antioquia,Plata,Productores,2012,Trimestre 1,Gramos,Regalia,1258,20
05002,Abejorral,Antioquia,Oro,Productores,2013,Trimestre 1,Gramos,Regalia,603237,193
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 1,Gramos,Regalia,792963,222
05002,Abejorral,Antioquia,Oro,Productores,2014,Trimestre 1,Gramos,Regalia,580478,231
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 1,Gramos,Regalia,4441859,1199
05002,Abejorral,Antioquia,Oro,Productores,2017,Trimestre 1,Gramos,Regalia,840290,233
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 1,Gramos,Regalia,4712723,1155
05002,Abejorral,Antioquia,Oro,Productores,2020,Trimestre 1,Gramos,Regalia,133820,25
05002,Abejorral,Antioquia,Oro,Productores,2015,Trimestre 2,Gramos,Regalia,7198211,2295
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 2,Gramos,Regalia,824385,205
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 2,Gramos,Regalia,488023,127
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 2,Gramos,Regalia,3787105,976
05002,Abejorral,Antioquia,Oro,Productores,2016,Trimestre 3,Gramos,Regalia,1704468,434
05002,Abejorral,Antioquia,Oro,Productores,2013,Trimestre 3,Gramos,Regalia,2719465,1080
05002,Abejorral,Antioquia,Oro,Productores,2015,Trimestre 3,Gramos,Regalia,5187657,1633
