Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2018.0,20,0,0,0,0,224,0,0,0,108,0,0,0,0,0,80,0,0,0,48,0
Alcalá,2018.0,420,0,"2,104",0,0,"7,612",0,0,60,112,144,0,0,0,0,0,300,"2,772",0,0,0
Andalucia,2018.0,550,0,150,0,0,"5,800",0,0,0,0,0,0,300,0,0,0,300,0,0,0,0
Ansermanuevo,2018.0,342,0,783,0,0,680,0,387,585,55,0,108,0,0,0,3,0,0,84,0,0
Argelia,2018.0,"2,330",0,"2,355",0,0,40,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
Bolivar,2018.0,200,0,"3,009",0,48,520,0,132,210,"1,400","2,700",20,560,"1,050","1,134",85,"1,134",720,70,161,560
Buenaventura,2018.0,0,"1,475",630,"9,312",420,0,"3,864",0,0,104,0,0,0,0,0,0,0,63,0,0,0
Buga,2018.0,14,0,"1,147",0,0,180,0,63,0,0,100,12,42,0,0,80,100,"7,410",0,70,24
Bugalagrande,2018.0,300,0,0,0,0,"15,764",0,108,495,108,0,0,144,0,0,0,0,0,0,0,0
Caicedonia,2018.0,"4,270",0,"4,884",0,0,"43,076",0,0,847,0,0,0,144,0,0,0,0,720,0,0,0
Calima Darién,2018.0,378,0,30,0,0,120,0,0,0,50,"1,590",0,0,0,0,96,0,0,0,0,0
Candelaria,2018.0,0,0,0,0,0,295,0,0,0,210,0,0,399,0,0,0,0,0,0,0,0
Cartago,2018.0,212,0,306,0,0,"6,489",0,0,90,30,0,0,0,0,0,0,0,0,0,0,0
Dagua,2018.0,650,0,"1,440",0,119,"2,980",0,0,330,56,876,0,"1,278",0,0,0,0,"50,880",105,0,0
El Aguila,2018.0,264,0,144,0,0,75,0,132,0,0,180,0,80,0,0,36,0,228,40,96,0
El Cairo,2018.0,623,0,255,0,0,29,0,0,0,0,57,0,20,0,0,5,0,0,0,0,0
El Cerrito,2018.0,320,0,126,0,0,540,0,0,0,0,0,0,80,0,0,16,0,0,0,70,"3,396"
El Dovio,2018.0,112,0,630,0,0,0,0,185,0,0,"1,060",0,510,0,0,0,0,0,0,0,0
Florida,2018.0,81,0,"2,740",0,0,"2,725",0,200,68,156,0,50,140,0,0,572,330,"6,440",5,72,0
Ginebra,2018.0,0,0,"2,934",0,0,0,0,81,0,0,15,0,60,0,0,534,80,0,0,0,912
