Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Dagua,2010,7,11,,,13,7,,,,,9,,12,,,,,68,,,
Cali,2018,2018,0,0,0,0,8,0,0,0,9,0,0,0,0,0,8,0,0,0,8,0
Alcalá,2018,7,0,21,0,0,40,0,0,10,7,18,0,0,0,0,0,50,58,0,0,0
Andalucia,2018,10,0,5,0,0,20,0,0,0,0,0,0,10,0,0,0,10,0,0,0,0
Ansermanuevo,2018,9,0,15.88,0,0,40,0,9,18,11,0,9,0,0,0,2,0,0,8,0,0
Argelia,2018,10,0,15,0,0,8,0,0,0,0,2.8,0,0,0,0,0,0,0,0,0,0
Bolivar,2018,5,0,17,0,8,20,0,12,10,10,10,5,14,42,42,5,27,80,5,7,16
Buenaventura,2018,0,5,6,12,14,0,12,0,0,13,0,0,0,0,0,0,0,9,0,0,0
Buga,2018,7,0,12.6,0,0,20,0,9,0,0,20,12,21,0,0,8,50,78,0,14,12
Bugalagrande,2018,10,0,0,0,0,28,0,12,11,12,0,0,12,0,0,0,0,0,0,0,0
Caicedonia,2018,13.95,0,11.41,0,0,22,0,0,11,0,0,0,18,0,0,0,0,60,0,0,0
Calima Darién,2018,12,0,12,0,0,10,0,0,0,10,15,0,0,0,0,8,0,0,0,0,0
Candelaria,2018,0,0,0,0,0,12.29,0,0,0,15,0,0,30,0,0,0,0,0,0,0,0
Cartago,2018,10,0,9,0,0,31.17,0,0,9,10,0,0,0,0,0,0,0,0,0,0,0
Dagua,2018,5,0,12,0,7,20,0,0,15,8,12,0,18,0,0,0,0,60,7,0,0
El Aguila,2018,12,0,9,0,0,15,0,11,0,0,15,0,20,0,0,6,0,35,8,12,0
El Cairo,2018,10.74,0,15,0,0,13.2,0,0,0,6,10,0,10,0,0,5,0,0,0,0,0
El Cerrito,2018,8,0,7,0,0,20,0,0,0,0,0,0,20,0,0,4,0,0,0,14,12
El Dovio,2018,8,0,14,0,0,0,0,10,0,0,20,0,15,0,0,0,0,0,0,0,0
Florida,2018,9,0,20,0,0,25,0,10,17,12,0,11,20,0,0,11,30,70,5,12,0
Ginebra,2018,0,0,18,0,0,0,0,9,0,0,5,0,15,0,0,6,10,0,0,0,12
Guacarì,2018,12,0,18,0,0,20,0,0,20,0,27,0,30,0,0,6,10,0,0,12,10
Jamundì,2018,7.5,0,13,0,0,32.1,0,0,12,9.5,10,20,20,0,0,8,35,65,0,15,0
La Cumbre,2018,0,0,18,0,0,0,0,10,0,0,10,0,0,0,0,0,40,70,0,0,0
La Uniòn,2018,12,0,7.5,0,0,13.5,0,0,12,10.7,12,18,15,22,22,0,50,60,10,0,11
La Victoria,2018,10,0,10,0,0,35,0,0,14,10,0,15,22,0,0,0,0,0,0,0,12
Obando,2018,9.47,0,22.36,0,0,19,0,0,0,4.5,0,18.94,0,0,0,0,50,0,0,0,0
Palmira,2018,10,0,11,0,0,20,0,35,0,11,7,0,24,0,0,5,0,0,0,14,14
Pradera,2018,10,0,5,0,0,0,0,0,15,10,0,0,0,0,0,6,0,80,0,6,0
Restrepo,2018,9,8,11.62,0,0,35,0,0,0,8,15,0,12,0,0,8,0,60,8,15,0
Riofrìo,2018,8,0,14,0,0,18,0,0,12,7,10.6,5,15,0,0,5,0,60,8,0,0
Roldanillo,2018,10,0,25,0,0,25,0,8,7,12,10,0,35,30,30,15,80,80,12,0,15
San Pedro,2018,9.2,0,7,0,0,14,0,15,8.5,0,4.1,15,14,0,0,7,30,0,0,7,0
Sevilla,2018,10,0,9,0,0,10,0,10,0,0,15,0,0,0,0,6,0,0,0,0,0
Toro,2018,9,0,15,0,0,15,0,8,10,12,15,0,30,20,20,0,35,50,0,0,12
Trujillo,2018,9.5,0,10,0,0,14.5,0,0,8,13.5,11,0,16,0,0,10.5,58,0,8,0,12
Tuluà,2018,6,0,10,0,0,12,0,8,7,0,13,10,20,0,0,8,15,0,0,12,6
Ulloa,2018,10,0,20,0,0,20,0,0,0,0,9,0,15,0,0,0,35,50,0,0,0
Versalles,2018,6,0,6,0,0,0,0,12,0,0,15,0,20,0,0,12,0,0,8,0,0
Vijes,2018,8,0,15,0,0,20,0,0,0,0,0,10,15,0,0,0,50,60,0,0,0
Yotoco,2018,9,0,0,0,0,30,0,0,0,14.66,11,10,27,0,0,0,50,70,9,0,0
Yumbo,2018,12,0,10,0,0,15,0,12,15,3.17,0,11.37,25,0,0,6,25,60,12,0,12
Zarzal,2018,0,0,0,0,0,30,0,0,10,10,0,12,0,14,14,0,20,0,0,0,0
Bugalagrande,2010,10,,,,28,,,7,11,12,,,14,,,,,,12,,
Cali,2017,5,0,0,0,0,7,0,0,0,8,0,0,0,0,0,7,0,0,0,5.5,0
Alcalá,2017,7,0,21,0,0,40,0,0,0,7,15,0,0,0,0,0,0,58,0,0,0
Andalucia,2017,10,0,20,0,0,20,0,0,0,0,0,0,20,0,0,0,35,0,0,0,0
Ansermanuevo,2017,7,0,27.27,0,0,35,0,9,6,6,0,9,0,0,0,0,0,0,9,0,0
Argelia,2017,10,0,15,0,0,8,0,0,0,0,2.8,0,0,0,0,5,0,0,0,0,0
Bolivar,2017,5,0,17,0,8,20,0,12,10,10,10,10,14,42,42,5,27,80,5,7,16
Buenaventura,2017,0,5,6,12,14,0,12,0,0,13,0,0,0,0,0,0,0,9,0,0,0
Buga,2017,8,0,14,0,0,10,0,10,0,8,6,8,9,0,0,5,20,80,0,8,11
Bugalagrande,2017,10,0,0,0,0,28,0,12,11,12,0,0,12,0,0,0,0,0,12,0,0
Caicedonia,2017,12,0,11.38,0,0,25,0,0,11.2,0,0,0,18,0,0,0,0,52,0,0,0
Calima Darién,2017,12,0,12,0,0,10,0,0,0,10,15,0,0,0,0,8,0,0,0,0,0
Candelaria,2017,0,0,0,0,0,12.33,0,0,0,15,0,0,30,0,0,0,0,0,0,0,0
Cartago,2017,10,0,9,0,0,29,0,0,0,10,0,0,0,0,0,0,0,60,0,0,0
Dagua,2017,5,0,12,0,7,20,0,0,15,8,7.5,0,18,0,0,0,0,60,7,0,0
El Aguila,2017,7,0,9,0,0,15,0,11,0,0,15,0,0,0,0,6,0,25,0,12,0
El Cairo,2017,9.79,0,10,0,0,0,0,7,0,0,9,0,10,0,0,6,0,0,0,12,0
El Cerrito,2017,5,0,20,0,0,20,0,0,0,0,0,0,20,0,0,4,0,0,0,14,14
El Dovio,2017,8,0,14,0,0,0,0,10,0,0,15,0,15,0,0,0,0,0,0,0,0
Florida,2017,9,0,20,0,0,30,0,7,15,10,0,10,20,0,0,9,30,60,5,12,0
Ginebra,2017,0,0,18,0,0,18,0,9,0,0,14,0,15,0,0,6,10,0,0,0,12
Guacarì,2017,10,0,18,0,0,35,0,0,10,0,15,0,10,0,0,6,10,0,0,12,10
Jamundì,2017,8,0,15,0,0,24.14,0,0,12,8,11,20,20,0,0,9,30,60,0,13,0
La Cumbre,2017,0,0,10,0,0,0,0,0,0,0,8,0,0,0,0,0,30,80,0,0,0
La Uniòn,2017,12,0,7.5,0,0,13.5,0,0,12,10.7,12,20,15,22,22,0,50,60,10,0,11
La Victoria,2017,10,0,15,0,0,35,0,0,14,10,0,15,22,15,0,0,20,0,0,0,12
Obando,2017,9.46,0,22.35,0,0,19,0,0,0,0,0,18.86,28,0,0,0,50,0,0,0,0
Palmira,2017,10,0,11,0,0,20,0,12,0,11,7,0,24,0,0,5,0,0,0,25,20
Pradera,2017,10,0,10,0,0,10,0,0,10,10,0,0,0,0,0,5,0,80,0,6,0
Restrepo,2017,8.5,8,9.15,0,0,12,0,8,0,8,15,0,8,0,0,8,0,60,8,18,0
Riofrìo,2017,8,0,21,0,0,18,0,0,12,7,10.6,10,0,0,0,5,0,60,8,0,0
Roldanillo,2017,10,0,25,0,0,25,0,8,7,12,10,0,30,30,30,6,60,60,12,0,15
San Pedro,2017,9.2,0,7,0,0,14,0,12,8.5,0,4.1,15,14,0,0,7,30,0,0,7,0
Sevilla,2017,12,0,20,0,0,35,0,10,0,0,15,0,0,0,0,6,0,0,0,0,0
Toro,2017,9,0,15,0,0,15,0,7,10,12,15,0,30,25,25,0,35,50,0,0,12
Trujillo,2017,10,0,10,0,0,16,0,0,10,13,11,0,18,0,0,11,60,0,8,0,12
Tuluà,2017,8,0,9,0,0,12,0,8,7,0,15,10,20,0,0,7,15,0,0,10,6
Ulloa,2017,8,0,20,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0
Versalles,2017,6,0,6,0,0,0,0,12,0,0,15,0,20,0,0,12,0,0,8,0,0
Vijes,2017,8,0,15,0,0,20,0,0,0,0,0,10,0,0,0,0,50,60,0,0,0
Yotoco,2017,8.93,0,0,0,0,30,0,0,0,15,11,0,27,0,0,0,50,70,9,0,0
Yumbo,2017,12,0,7,0,0,10.8,0,12,15,3.41,0,9.18,25,20,20,5,25,60,8,5,12
Zarzal,2017,0,0,0,0,0,30,0,0,10,10,0,0,0,15,25,0,20,70,0,0,0
