Municipios,Año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Lulo,Mango,Maracuyá,Melón A,Melón B,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2018,5,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,6,0
Alcalá,2018,141.9,0,100.2,0,0,198.3,0,0,13,8,0,5,0,0,0,6,47.8,0,0,0
Andalucia,2018,56,0,30,0,0,290,0,0,0,0,0,30,0,0,0,30,0,0,0,0
Ansermanuevo,2018,227.8,0,54.3,0,0,17,0,87.8,32.5,3.8,12,0,0,0,1.5,0,1.5,10.5,0,0
Argelia,2018,278,0,169,0,0,5,0,0,0,9,0,0,0,0,0,0,0,0,0,0
Bolivar,2018,529,0,217,0,6,28,0,22,24,310,4,47,25,27,17,62,9,19,31,39
Buenaventura,2018,0,390,110,776,2658,0,322,0,0,0,0,0,0,0,0,0,12,0,0,0
Buga,2018,4,0,110,0,0,9,0,9,0,5,1,2,0,0,11,2,120,0,5,2
Bugalagrande,2018,58,0,0,0,0,563,0,9,45,0,0,17,0,0,0,0,0,8,0,0
Caicedonia,2018,319,0,439,0,0,1978,0,0,80,0,0,9,0,0,0,0,12,0,0,0
Calima Darién,2018,39.5,0,2.5,0,0,12,0,0,0,106,0,0,0,0,12,0,0,0,0,0
Candelaria,2018,0,0,0,0,0,28,0,0,0,0,0,13.3,0,0,0,0,0,0,0,0
Cartago,2018,21.2,0,34,0,0,208.2,0,0,15,0,0,0,0,0,0,0,0.5,0,0,0
Dagua,2018,140,0,125,0,22,174,0,0,25,93,0,83,0,0,0,0,1298,18,0,0
El Aguila,2018,57,0,20,0,0,5,0,27,0,15,0,4,0,0,6,0,6.5,5,8,0
El Cairo,2018,71.3,0,17,0,0,11.4,0,0,0,5.7,0,2,0,0,1,0,0,0,0,0
El Cerrito,2018,44,0,18,0,0,27,0,0,0,0,0,4,0,0,4,0,0,0,5.5,283
El Dovio,2018,24,0,48,0,0,0,0,22.5,0,59,0,49,0,0,0,0,0,6,0,0
Florida,2018,10,0,137,0,0,111,0,20,4,0,4.5,7,0,0,52,11,92,1,6,0
Ginebra,2018,0,0,165,0,0,0,0,14,0,5,0,5,0,0,92,8,0,0,0,126
Guacarì,2018,56,0,246,0,0,71,0,0,27,45,0,87,0,0,42,461,0,0,40,220
Jamundì,2018,5.5,0,5.5,0,0,440,0,0,4,6,23,15.5,0,0,4.5,3,34,0,5,0
La Cumbre,2018,0,0,67,0,0,0,0,10.2,0,15.7,0,0,0,0,0,5,157.6,0,0,0
La Uniòn,2018,42.6,0,38.5,0,0,42,0,0,7.3,5.8,21,29.3,25.3,20,0,83,16.2,5.9,0,719.5
La Victoria,2018,40,0,35,0,0,120,0,0,4,0,41,3,0,0,0,3,0,0,0,6
Obando,2018,42,0,475,0,0,22,0,0,0,0,20,4,0,0,0,8,0,0,0,0
Palmira,2018,152,0,107,0,0,75,0,8,0,27.5,0,13.8,0,0,3.1,0,0,0,2.4,2
Pradera,2018,4,0,30,0,0,25,0,0,30,4,0,0,0,0,25,0,60,0,5,0
Restrepo,2018,76.2,15,73,0,0,18,0,1,0,110,2,16,0,0,2,0,650,23,1,0
Riofrìo,2018,61,0,549,0,0,37,0,0,5,63,9,10,0,0,10,0,12,7,0,0
Roldanillo,2018,141,0,64,0,0,33.5,0,7,14.3,10,0,58,8.5,7.3,5,54.8,25,11,0,61.6
San Pedro,2018,27,0,71,0,0,110,0,26,23,26.5,8,45,0,0,31,50,0,0,28.5,0
Sevilla,2018,980,0,1000,0,0,1300,0,15,0,45,0,0,0,0,40,0,0,0,0,0
Toro,2018,60,0,5,0,0,4,0,13,12,7,0,20,28,28,0,37,31,0,0,295
Trujillo,2018,110.5,0,623.5,0,0,21,0,0,3.5,9.5,11,16,0,0,52.5,17,0,21,0,7.5
Tuluà,2018,37,0,535,0,0,51,0,13,7,107,5,10,0,0,104.5,30,0,0,41,6
Ulloa,2018,106,0,119.8,0,0,90.6,0,0,0,6,0,4.6,0,0,0,6.9,15,0,0,0
Versalles,2018,363,0,101,0,0,0,0,11.3,0,28,0,9,0,0,47.6,0,0,7.5,0,0
Vijes,2018,33,0,37,0,0,46,0,0,0,0,15,35,0,0,0,42,370,0,0,0
Yotoco,2018,42,0,0,0,0,39.6,0,0,0,4,20,10,0,0,0,11,31,3,0,20.5
Yumbo,2018,23,0,14.2,0,0,67,0,2.5,6,0,35,2.1,0,0,1.8,22.6,10.6,1,0,166
Zarzal,2018,0,0,0,0,0,91.3,0,0,9.8,0,15.3,5,4,4,0,16,0,0,0,7
Cali,2017,5,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,6,0
Alcalá,2017,141.9,0,125.2,0,0,310.3,0,0,6,19,0,0,0,0,0,0,47.8,0,0,0
Andalucia,2017,55,0,30,0,0,345,0,0,0,0,0,30,0,0,0,30,0,0,0,0
Ansermanuevo,2017,67.8,0,49.3,0,0,17,0,43,32.5,0,12,6.5,0,0,1.5,0,0,10.5,0,0
Argelia,2017,268,0,159,0,0,5,0,0,0,11,0,0,0,0,5.5,0,0,0,0,0
Bolivar,2017,55,0,172,0,6,34,0,21,24,305,4,60,40,37,20,56,31,17,35,35
Buenaventura,2017,0,382,105,776,2658,0,322,0,0,0,0,0,0,0,0,0,7,0,0,0
Buga,2017,16,0,99,0,0,21,0,12,0,8,5,6,0,0,10,21,95,0,7,2
Bugalagrande,2017,33,0,0,0,0,563,0,7,40,0,0,17,0,0,0,0,0,6,0,0
Caicedonia,2017,324,0,449,0,0,1976,0,0,80,0,0,12,0,0,0,0,35,0,0,0
Calima Darién,2017,31.5,0,6.5,0,0,12,0,0,0,118,0,0,0,0,12,0,0,0,0,0
Candelaria,2017,0,0,0,0,0,29.5,0,0,0,0,0,14.5,0,0,0,0,0,0,0,0
Cartago,2017,21.2,0,34,0,0,208.2,0,0,15,0,0,0,0,0,0,0,1.5,0,0,0
Dagua,2017,90,0,115,0,17,142,0,0,10,53,0,52,0,0,0,0,1270,9,0,0
El Aguila,2017,32,0,16,0,0,5,0,12,0,20,0,1,0,0,5,0,10.5,0,5,0
El Cairo,2017,60,0,41,0,0,0,0,3,0,6.7,0,4.5,0,0,30,0,0,0,1.5,0
El Cerrito,2017,42,0,18,0,0,27,0,0,0,0,0,12,0,0,4,0,0,0,5,283
El Dovio,2017,16,0,52,0,0,0,0,18.5,0,66,0,57,0,0,0,0,0,0,0,0
Florida,2017,10,0,137,0,0,111,0,20,4,0,4.5,7,0,0,52,11,92,1,6,0
Ginebra,2017,0,0,163,0,0,31,0,9,0,7,0,15,0,0,100,13,0,0,0,81
Guacarì,2017,54,0,253,0,0,68,0,0,25,47,0,86,0,0,43,460,0,0,36,212
Jamundì,2017,5.5,0,5,0,0,444,0,0,4,5,23,13.5,0,0,6.5,2.5,33.5,0,7,0
La Cumbre,2017,0,0,70,0,0,0,0,0,0,13.5,0,0,0,0,0,1.5,166.6,0,0,0
La Uniòn,2017,26.6,0,31.1,0,0,27,0,0,7.3,5.5,6,32.8,35,35,0,66.5,19.2,6.4,0,732.8
La Victoria,2017,39,0,68,0,0,120,0,0,5,0,45,3,2,0,0,3,4,0,0,5
Obando,2017,32,0,454,0,0,18,0,0,0,0,20,12,0,0,0,8,0,0,0,0
Palmira,2017,149,0,107,0,0,75,0,8,0,25.5,0,13.8,0,0,3.1,0,0,0,2.4,2
Pradera,2017,2,0,30,0,0,25,0,0,30,0,0,0,0,0,23,0,40,0,5,0
Restrepo,2017,77.2,22,73,0,0,18,0,1,0,101,2,19,0,0,5,0,635,29,1,0
Riofrìo,2017,52,0,546,0,0,27,0,0,5,88,9,8,0,0,20,0,8,7,0,0
Roldanillo,2017,81,0,52,0,0,34,0,7,14.3,10,0,40,30,17,5,37.8,31,9,0,61.6
San Pedro,2017,25,0,71,0,0,115,0,36,22,26.5,8,45,0,0,31,50,0,0,28.5,0
Sevilla,2017,594,0,950,0,0,1200,0,15,0,45,0,0,0,0,40,0,0,0,0,0
Toro,2017,30,0,5,0,0,3,0,12,15,7,0,20,30,25,0,35,25,0,0,300
Trujillo,2017,114.5,0,629,0,0,27,0,0,3.5,14.5,11,19,0,0,60,19,0,22,0,11.5
Tuluà,2017,27,0,530,0,0,51,0,13,7,104,5,10,0,0,100.5,31.5,0,0,42,6
Ulloa,2017,104.2,0,119.8,0,0,73.6,0,0,0,0,0,1.6,0,0,0,5,15,0,0,0
Versalles,2017,273,0,101,0,0,0,0,13.3,0,26,0,12,0,0,37.1,0,0,7.5,0,0
Vijes,2017,30,0,40,0,0,44,0,0,0,0,15,0,0,0,0,40,388,0,0,0
Yotoco,2017,42,0,0,0,0,39.6,0,0,0,7.2,20,15,0,0,0,14,47,3,0,0
Yumbo,2017,34,0,12.7,0,0,67.4,0,3.5,4.4,0,30,1.7,2,3,1.7,0.8,9.6,1.5,0.5,131
Zarzal,2017,0,0,0,0,0,85.3,0,0,9.8,0,15.3,0,3,3,0,28.7,57,0,0,5
Cali,2016,5,0,0,0,0,28,0,0,0,0,0,0,0,0,10,0,0,0,6,0
Alcalá,2016,60,0,165,0,0,380,0,0,0,25,0,0,0,0,0,2,31,0,0,0
Andalucia,2016,50,0,25,0,0,405,0,0,0,0,0,20,0,0,0,20,0,0,0,0
Ansermanuevo,2016,47.3,0,33,0,0,5.5,0,28,27,2.5,12,5,0,0,1.5,13,0,8.5,0,0
Argelia,2016,233,0,140,0,0,5,0,0,0,14.2,0,0,0,0,5.5,0,0,0,0,0
Bolivar,2016,44,0,134,0,6,46,0,32,21,308,0,80,55,45,23,49,63,20,40,32
Buenaventura,2016,0,395,125,800,2738,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2016,14,0,92,0,0,17,0,14,0,6,5,5,0,0,8,19,85,0,5,2
Bugalagrande,2016,30,0,0,0,0,563,0,9,45,0,0,12,0,0,0,0,0,8,0,0
Caicedonia,2016,321,0,444,0,0,1976,0,0,80,0,0,0,0,0,0,0,35,0,0,0
Calima Darién,2016,31.5,0,9.5,0,0,13,0,0,0,125,0,0,0,0,22.5,0,0,0,0,0
Candelaria,2016,0,0,0,0,0,29.1,0,0,0,0,0,13.5,0,0,0,0,0,0,0,0
Cartago,2016,21.2,0,30,0,0,126,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0
Dagua,2016,84,0,115,0,17,122,0,0,8,53,0,42,0,0,0,0,1250,9,0,0
El Aguila,2016,34,0,17,0,0,5,0,7,0,20,0,1,0,0,5,0,10.5,0,5,0
El Cairo,2016,58,0,31,0,0,0,0,3,0,4.7,0,4.5,0,0,30,0,0,0,1.5,0
El Cerrito,2016,43,0,18,0,0,27,0,0,0,0,0,10,0,0,2,0,0,0,5,283
El Dovio,2016,10.5,0,51,0,0,0,0,18,0,60,0,41,0,0,0,0,0,0,0,0
Florida,2016,9,0,148.5,0,0,96,0,16.5,4,0,5,7.5,0,0,56,15,77,1,4.5,0
Ginebra,2016,0,0,158,0,0,30,0,7,0,14,0,14,0,0,210,11,0,0,0,71
Guacarì,2016,51,0,254,0,0,65,0,0,23,43,0,79,0,0,49,343,0,0,30,204
Jamundì,2016,5,0,7,0,0,455,0,0,4,6,23,21.5,0,0,7.5,10,28.5,0,7,0
La Cumbre,2016,0,0,68,0,0,0,0,0,0,15,0,0,0,0,0,0,200,0,0,0
La Uniòn,2016,21.5,0,31.1,0,0,27,0,0,13.5,13,6,17,50,48,0,146.6,4,0,0,974
La Victoria,2016,39,0,128,0,0,0,0,0,2,0,45,13,0,0,0,10,0,0,0,6
Obando,2016,26.6,0,449,0,0,26,0,0,0,0,19.5,12,0,0,0,10,0,0,0,0
Palmira,2016,139.4,0,127,0,0,75,0,7,0,38.2,0,6.7,0,0,9,0,0,0,3.8,9
Pradera,2016,2,0,30,0,0,25,0,0,30,13,0,0,0,0,15,0,20,0,5,0
Restrepo,2016,68.2,25,69,0,0,16,0,1,0,86,2,17,0,0,8,0,465,29,1,0
Riofrìo,2016,33,0,544,0,0,9,0,0,5,170,9,0,0,0,32,0,6,5,0,0
Roldanillo,2016,31,0,45,0,0,32,0,7,14.3,10,0,66,61.8,38.6,5,32.8,46,9,0,52.6
San Pedro,2016,23,0,69,0,0,34,0,43,17,29,7.5,40,0,0,26,45,0,0,25,0
Sevilla,2016,384,0,1810,0,0,1200,0,15,0,45,0,0,0,0,40,0,0,0,0,0
Toro,2016,15,0,4,0,0,2,0,10,15,5,0,20,30,30,0,30,20,0,0,340
Trujillo,2016,115,0,634,0,0,27,0,0,4,17,3,0,1.5,0,90,4,0,22,0,9.5
Tuluà,2016,13,0,527,0,0,53,0,6,7,101,5,8,0,0,100.5,25.5,0,0,47,6
Ulloa,2016,82.5,0,103.8,0,0,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Versalles,2016,53.5,0,97,0,0,0,0,22.3,0,35,0,12,0,0,34.1,0,0,7.5,0,0
Vijes,2016,27,0,40,0,0,43,0,0,0,0,15,0,0,0,0,40,348,0,0,0
Yotoco,2016,42,0,0,0,0,37.6,0,0,0,5.2,0,0,0,0,0,0,36,6,0,0
Yumbo,2016,33,0,12.7,0,0,68.8,0,3.6,4.7,0,30,3.9,10,8,1.7,0.8,4,1.5,0.5,105
Zarzal,2016,0,0,0,0,0,81.3,0,0,9.8,0,15.3,30.8,40,35.6,0,38.7,0,0,0,0
Cali,2015,4,0,0,0,0,23,0,0,0,0,0,0,0,0,10,0,0,0,6,0
Alcalá,2015,45,1,156,0,0,372,0,0,0,11,0,0,0,0,0,2,19,0,0,0
Andalucia,2015,25,0,20,0,0,405,0,0,0,0,0,20,0,0,0,20,0,0,0,0
Ansermanuevo,2015,44,0,21,0,0,5,0,36,10,4.5,12,1,0,0,3,0,0,13,0,0
Argelia,2015,302.6,0,225,0,0,5,0,0,0,8,0,0,0,0,6,0,0,0,0,0
Bolivar,2015,47,0,119,0,6,47,0,45,21,288,0,120,47,40,28,44,65,27,40,32
Buenaventura,2015,0,390,125,800,2743,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0
Buga,2015,13,0,87,0,0,12,0,0,0,0,5,0,0,0,6,0,0,0,0,2
Bugalagrande,2015,27,0,0,0,0,593,0,9,45,0,0,10,0,0,0,0,0,10,0,0
Caicedonia,2015,312,0,409,0,0,1957,0,0,73,0,0,0,0,0,0,0,82,0,0,0
Calima Darién,2015,31.5,0,8,0,0,12,0,6,0,97,0,0,0,0,27.5,0,0,1,8,0
Candelaria,2015,0,0,0,0,0,29.1,0,0,0,0,0,12,0,0,0,0,0,0,0,0
Cartago,2015,21.2,0,30,0,0,126,0,0,0,1,0,0,0,0,0,1,1.5,0,0,0
Dagua,2015,71,0,119,0,17,95,0,4.5,6,40,0,26,0,0,0,0,1220,6,0,0
El Aguila,2015,31,0,11,0,0,3.5,0,4,0,21,0,0,0,0,18,0,6.5,0,5,0
El Cairo,2015,56,0,0,0,0,0,0,0,0,13,0,0,0,0,37,0,0,0,0,0
El Cerrito,2015,52,0,15,0,0,30,0,0,0,0,0,23,0,0,4,0,0,0,0,285
El Dovio,2015,7,0,51,0,0,0,0,3,0,22,0,11,0,0,0,0,0,2,0,0
Florida,2015,9,0,153,0,0,95,0,14,4,0,5,9,0,0,58,15,7,1,5,0
Ginebra,2015,0,0,145,0,0,30,0,7,0,16,0,13,0,0,220,11,0,0,0,71
Guacarì,2015,48,0,252,0,0,61,0,0,19,37,0,70,0,0,55,231,0,0,22,194
Jamundì,2015,6,0,11,0,0,453,0,0,4,7,23,19.5,0,0,9.5,9.5,20.5,0,3,0
La Cumbre,2015,0,0,63.5,0,0,0,0,0,0,15,0,0,0,0,0,0,170,0,0,0
La Uniòn,2015,21.2,0,31.1,0,0,21.3,0,0,13.5,10,0,52.9,50,48,0,156.9,0,0,0,964
La Victoria,2015,39,0,135,0,0,55,0,0,2,0,40,8,0,3,0,13,0,0,0,6
Obando,2015,26.6,0,446,0,0,26,0,0,0,0,19.5,10,0,0,0,2,0,0,0,0
Palmira,2015,133,0,127,0,0,75,0,7,0,40.2,0,6.7,0,0,9,0,0,0,3.8,9
Pradera,2015,2,0,30,0,0,25,0,0,30,13,0,0,0,0,15,0,20,0,5,0
Restrepo,2015,60.2,24,70,0,0,26,0,1,0,92,2,17,0,0,8,0,385,32,1,0
Riofrìo,2015,31,0,534,0,0,8,0,0,4,198,9,0,0,0,31,0,4,5,0,0
Roldanillo,2015,29,0,30,0,0,19,0,7,14.3,10,0,76,22.3,22.3,5,133.8,29,9,0,47.6
San Pedro,2015,21,0,67,0,0,33,0,38,12,26.5,7,35,0,0,21,40,0,0,21.5,0
Sevilla,2015,320,0,1810,0,0,1192,0,15,0,45,0,0,0,0,20,0,0,0,0,0
Toro,2015,12,0,4,0,0,2,0,10,48,5,0,25,30,30,0,50,10,0,0,310
Trujillo,2015,74,0,632,0,0,25,0,0,4,27,0,12,5,0,140,21,0,16,0,9
Tuluà,2015,13,0,527,0,0,53,0,7,7,110,5,8,0,0,101.5,25,0,0,40,6
Ulloa,2015,81.5,1,103.8,0,0,67,0,0,0,0,0,0,0,0,0,0,11,0,0,0
Versalles,2015,45.5,0,97,0,0,0,0,31.3,0,36,0,10,0,0,31.6,0,0,5,0,0
Vijes,2015,25,0,42,0,0,42,0,0,0,0,14,0,0,0,0,40,322,0,0,0
Yotoco,2015,41,0,0,0,0,37.6,0,0,0,5.2,0,0,0,0,0,0,6,4,0,0
Yumbo,2015,37,0,15,0,0,68.5,0,5,10.5,12,29.5,11.5,10,10,4,17.8,5,2.5,1,82
Zarzal,2015,0,0,0,0,2,251.6,0,0,19.5,0,0,45.8,45,30,0,48.7,0,0,0,0
Cali,2014,5,,,,,30,,,,,,,,,15,,,,10,
Alcalá,2014,45,1,160,,,372,,,,10,,,,,,2,20,,,
Andalucia,2014,10,0,20,0,0,405,0,0,0,0,0,20,0,0,0,20,0,0,0,0
Ansermanuevo,2014,41,,21,,,5,,36,10,4.5,12,1,,,3,,,13,,
Argelia,2014,302.6,,225,,,5,,,,8,,,,,6,,,,,
Bolivar,2014,45,,99,,6,46,,44,20,278,,132,45,40,30,75,57,29,43,31
Buenaventura,2014,,380,122,800,3280,,322,,,,,,,,,,,,,
