Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2018,5.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0
Alcalá,2018,60.0,0.0,100.2,0.0,0.0,190.3,0.0,0.0,6.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,47.8,0.0,0.0,0.0
Andalucia,2018,55.0,0.0,30.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0
Ansermanuevo,2018,38.0,0.0,49.3,0.0,0.0,17.0,0.0,43.0,32.5,5.0,0.0,12.0,0.0,0.0,0.0,1.5,0.0,0.0,10.5,0.0,0.0
Argelia,2018,233.0,0.0,157.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2018,40.0,0.0,177.0,0.0,6.0,26.0,0.0,11.0,21.0,140.0,270.0,4.0,40.0,25.0,27.0,17.0,42.0,9.0,14.0,23.0,35.0
Buenaventura,2018,0.0,295.0,105.0,776.0,30.0,0.0,322.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Buga,2018,2.0,0.0,91.0,0.0,0.0,9.0,0.0,7.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,10.0,2.0,95.0,0.0,5.0,2.0
Bugalagrande,2018,30.0,0.0,0.0,0.0,0.0,563.0,0.0,9.0,45.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Caicedonia,2018,306.0,0.0,428.0,0.0,0.0,"1,958.0",0.0,0.0,77.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0
Calima Darién,2018,31.5,0.0,2.5,0.0,0.0,12.0,0.0,0.0,0.0,5.0,106.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2018,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,14.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2018,21.2,0.0,34.0,0.0,0.0,208.2,0.0,0.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dagua,2018,130.0,0.0,120.0,0.0,17.0,149.0,0.0,0.0,22.0,7.0,73.0,0.0,71.0,0.0,0.0,0.0,0.0,848.0,15.0,0.0,0.0
El Aguila,2018,22.0,0.0,16.0,0.0,0.0,5.0,0.0,12.0,0.0,0.0,12.0,0.0,4.0,0.0,0.0,6.0,0.0,6.5,5.0,8.0,0.0
El Cairo,2018,58.0,0.0,17.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,5.7,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2018,40.0,0.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,283.0
El Dovio,2018,14.0,0.0,45.0,0.0,0.0,0.0,0.0,18.5,0.0,0.0,53.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
Florida,2018,9.0,0.0,137.0,0.0,0.0,109.0,0.0,20.0,4.0,13.0,0.0,4.5,7.0,0.0,0.0,52.0,11.0,92.0,1.0,6.0,0.0
Ginebra,2018,0.0,0.0,163.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,89.0,8.0,0.0,0.0,0.0,76.0
Guacarì,2018,51.0,0.0,241.0,0.0,0.0,66.0,0.0,0.0,22.0,0.0,43.0,0.0,83.0,0.0,0.0,29.0,31.0,0.0,0.0,7.0,11.0
Jamundì,2018,5.0,0.0,5.0,0.0,0.0,439.0,0.0,0.0,4.0,4.0,5.0,23.0,11.5,0.0,0.0,4.5,2.5,29.0,0.0,5.0,0.0
La Cumbre,2018,0.0,0.0,62.0,0.0,0.0,0.0,0.0,10.2,0.0,0.0,14.7,0.0,0.0,0.0,0.0,0.0,5.0,146.0,0.0,0.0,0.0
La Uniòn,2018,26.6,0.0,31.1,0.0,0.0,27.0,0.0,0.0,7.3,248.0,3.5,6.0,19.5,25.3,18.0,0.0,33.5,16.2,5.9,0.0,713.8
La Victoria,2018,39.0,0.0,35.0,0.0,0.0,120.0,0.0,0.0,4.0,27.0,0.0,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Obando,2018,32.0,0.0,454.0,0.0,0.0,18.0,0.0,0.0,0.0,7.0,0.0,20.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Palmira,2018,140.4,0.0,107.0,0.0,0.0,75.0,0.0,8.0,0.0,11.4,27.5,0.0,13.8,0.0,0.0,3.1,0.0,0.0,0.0,2.4,2.0
Pradera,2018,2.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,30.0,0.0,5.0,0.0
Restrepo,2018,71.2,15.0,68.0,0.0,0.0,18.0,0.0,0.0,0.0,11.0,85.0,2.0,15.0,0.0,0.0,2.0,0.0,615.0,23.0,1.0,0.0
Riofrìo,2018,41.0,0.0,544.0,0.0,0.0,9.0,0.0,0.0,4.0,7.0,58.0,9.0,8.0,0.0,0.0,10.0,0.0,6.0,7.0,0.0,0.0
Roldanillo,2018,46.0,0.0,49.0,0.0,0.0,32.0,0.0,7.0,14.3,196.0,10.0,0.0,38.0,8.5,7.3,5.0,37.8,25.0,9.0,0.0,61.6
San Pedro,2018,25.0,0.0,71.0,0.0,0.0,108.5,0.0,26.0,18.0,0.0,24.0,8.0,40.0,0.0,0.0,26.0,45.0,0.0,0.0,25.0,0.0
Sevilla,2018,860.0,0.0,900.0,0.0,0.0,"1,300.0",0.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Toro,2018,59.0,0.0,5.0,0.0,0.0,3.0,0.0,12.0,12.0,148.0,7.0,0.0,20.0,28.0,28.0,0.0,37.0,31.0,0.0,0.0,295.0
Trujillo,2018,107.0,0.0,623.0,0.0,0.0,20.0,0.0,0.0,3.5,3.0,8.0,0.0,11.0,0.0,0.0,50.0,15.0,0.0,21.0,0.0,5.0
Tuluà,2018,13.0,0.0,528.0,0.0,0.0,51.0,0.0,11.0,7.0,0.0,102.0,5.0,10.0,0.0,0.0,99.5,30.0,0.0,0.0,37.0,6.0
Ulloa,2018,104.7,0.0,119.8,0.0,0.0,73.6,0.0,0.0,0.0,0.0,4.0,0.0,1.6,0.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0
Versalles,2018,53.5,0.0,101.0,0.0,0.0,0.0,0.0,7.3,0.0,0.0,16.0,0.0,6.0,0.0,0.0,37.1,0.0,0.0,7.5,0.0,0.0
Vijes,2018,18.0,0.0,35.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,14.0,25.0,0.0,0.0,0.0,40.0,300.0,0.0,0.0,0.0
Yotoco,2018,42.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,17.9,4.0,20.0,10.0,0.0,0.0,0.0,6.0,11.0,3.0,0.0,0.0
Yumbo,2018,22.0,0.0,12.7,0.0,0.0,58.0,0.0,2.5,4.4,5.9,0.0,30.0,1.2,0.0,0.0,1.7,14.6,9.6,1.0,0.0,113.0
Zarzal,2018,0.0,0.0,0.0,0.0,0.0,85.3,0.0,0.0,9.5,6.5,0.0,15.3,0.0,4.0,4.0,0.0,3.7,0.0,0.0,0.0,0.0
Municipios,año,Aguacate,Bananito,Banano,Borojó,Chontaduro,Citricos,Coco,Granadilla,Guana bana,Guayaba,Lulo,Mango,Maracuyá,Melón a,Melon b,Mora,Papaya,Piña,Pitaya,Tomate Arbol,Vid
Cali,2017,5.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,6.0,0.0
Alcalá,2017,60.0,0.0,125.2,0.0,0.0,310.3,0.0,0.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0
Andalucia,2017,50.0,0.0,25.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0
Ansermanuevo,2017,38.0,0.0,33.0,0.0,0.0,3.0,0.0,29.0,14.5,0.5,0.0,12.0,5.0,0.0,0.0,1.5,0.0,0.0,6.0,0.0,0.0
Argelia,2017,233.0,0.0,135.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,0.0
Bolivar,2017,40.0,0.0,137.0,0.0,6.0,34.0,0.0,15.0,21.0,170.0,280.0,4.0,48.0,35.0,35.0,20.0,46.0,21.0,17.0,25.0,33.0
Buenaventura,2017,0.0,352.0,105.0,776.0,500.0,0.0,317.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Buga,2017,16.0,0.0,87.0,0.0,0.0,17.0,0.0,11.0,0.0,2.0,4.0,5.0,4.0,0.0,0.0,6.0,17.0,75.0,0.0,3.0,2.0
Bugalagrande,2017,30.0,0.0,0.0,0.0,0.0,563.0,0.0,7.0,40.0,9.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
Caicedonia,2017,311.0,0.0,435.0,0.0,0.0,"1,958.0",0.0,0.0,80.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0
Calima Darién,2017,26.5,0.0,5.5,0.0,0.0,8.0,0.0,0.0,0.0,5.0,90.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2017,0.0,0.0,0.0,0.0,0.0,25.5,0.0,0.0,0.0,15.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2017,21.2,0.0,30.0,0.0,0.0,126.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0
Dagua,2017,80.0,0.0,115.0,0.0,17.0,55.0,0.0,0.0,8.0,5.0,53.0,0.0,160.0,0.0,0.0,0.0,0.0,770.0,9.0,0.0,0.0
El Aguila,2017,22.0,0.0,13.0,0.0,0.0,3.5,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,5.0,0.0
El Cairo,2017,57.0,0.0,31.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.7,0.0,4.5,0.0,0.0,30.0,0.0,0.0,0.0,1.5,0.0
El Cerrito,2017,40.0,0.0,18.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,283.0
El Dovio,2017,7.0,0.0,49.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,55.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2017,9.0,0.0,136.0,0.0,0.0,95.0,0.0,16.0,4.0,13.0,0.0,4.5,7.0,0.0,0.0,52.0,11.0,77.0,1.0,5.0,0.0
Ginebra,2017,0.0,0.0,158.0,0.0,0.0,30.0,0.0,4.0,0.0,0.0,5.0,0.0,14.0,0.0,0.0,100.0,11.0,0.0,0.0,0.0,71.0
Guacarì,2017,48.0,0.0,235.0,0.0,0.0,62.0,0.0,0.0,19.0,0.0,37.0,0.0,71.0,0.0,0.0,31.0,322.0,0.0,0.0,26.0,199.0
Jamundì,2017,5.0,0.0,5.0,0.0,0.0,442.0,0.0,0.0,4.0,6.0,5.0,23.0,11.5,0.0,0.0,6.5,2.0,18.0,0.0,6.0,0.0
La Cumbre,2017,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,1.5,155.0,0.0,0.0,0.0
La Uniòn,2017,21.5,0.0,31.1,0.0,0.0,27.0,0.0,0.0,7.3,248.0,5.5,6.0,17.0,20.0,20.0,0.0,66.5,19.2,6.4,0.0,732.8
La Victoria,2017,22.0,0.0,68.0,0.0,0.0,84.0,0.0,0.0,2.0,25.0,0.0,45.0,3.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0
Obando,2017,26.0,0.0,446.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,19.5,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0
Palmira,2017,123.0,0.0,107.0,0.0,0.0,75.0,0.0,7.0,0.0,10.0,20.2,0.0,6.7,0.0,0.0,3.0,0.0,0.0,0.0,2.4,2.0
Pradera,2017,2.0,0.0,30.0,0.0,0.0,25.0,0.0,0.0,30.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,20.0,0.0,5.0,0.0
Restrepo,2017,76.2,25.0,68.0,0.0,0.0,13.0,0.0,1.0,0.0,10.0,86.0,0.0,18.0,0.0,0.0,4.0,0.0,590.0,29.0,1.0,0.0
Riofrìo,2017,28.0,0.0,536.0,0.0,0.0,8.0,0.0,0.0,4.0,6.0,85.0,9.0,0.0,0.0,0.0,20.0,0.0,6.0,5.0,0.0,0.0
Roldanillo,2017,29.0,0.0,42.0,0.0,0.0,32.0,0.0,7.0,14.3,197.0,10.0,0.0,66.0,30.0,17.0,5.0,32.8,41.0,9.0,0.0,52.6
San Pedro,2017,23.0,0.0,69.0,0.0,0.0,29.0,0.0,31.0,17.0,0.0,24.0,7.5,40.0,0.0,0.0,26.0,45.0,0.0,0.0,25.0,0.0
Sevilla,2017,384.0,0.0,700.0,0.0,0.0,800.0,0.0,15.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
