subregion,periodo,municipio,area_total,area_produccion,volumen_produccion
Oriente,1990,Alejandría,377,350,525
Suroeste,1990,Amagá,2296,2266,2297.72
Nordeste,1990,Amalfi,2470,2247,5055.75
Suroeste,1990,Andes,14360,12900,29025
Suroeste,1990,Angelópolis,967,967,771.67
Norte,1990,Angostura,1267,1250,1625
Nordeste,1990,Anorí,300,260,520
Occidente,1990,Anzá,1430,1406,2249.6
Oriente,1990,Argelia,2450,2350,2350
Occidente,1990,Armenia,2167,1887,1086.91
Valle de Aburra,1990,Barbosa,1630,1440,2268
Suroeste,1990,Betania,7000,6000,9000
Suroeste,1990,Betulia,6325,5623,8434.5
Norte,1990,Briceño,727,690,1081.92
Occidente,1990,Caicedo,1091,1013,1418.2
Norte,1990,Campamento,544,538,672.5
Occidente,1990,Cañasgordas,4767,3814,3787.3
Magdalena Medio,1990,Caracolí,300,200,180
Suroeste,1990,Caramanta,2596,2516,3145
Nordeste,1990,Cisneros,574,487,827.9
Suroeste,1990,Ciudad Bolívar,12638,11633,16286.2
Oriente,1990,Cocorná,2120,1899,2197.14
Suroeste,1990,Concordia,5200,4500,11250
Occidente,1990,Dabeiba,2400,2200,2750
Occidente,1990,Ebéjico,3393,3200,4640
Oriente,1990,El Peñol,450,450,562.5
Oriente,1990,El Retiro,106,100,148
Suroeste,1990,Fredonia,5287,4302,5721.66
Occidente,1990,Frontino,1370,870,2029.71
Occidente,1990,Giraldo,670,643,1286
Norte,1990,Gómez Plata,1457,1390,2085
Oriente,1990,Granada,1570,1405,2388.5
Occidente,1990,Heliconia,2528,2314,2314
Suroeste,1990,Hispania,1603,1220,1220
Norte,1990,Ituango,3791,3780,3250.8
Suroeste,1990,Jardín,3118,2876,7909
Suroeste,1990,Jericó,4300,3000,4500
Occidente,1990,Liborina,1552,1474,1768.8
Magdalena Medio,1990,Maceo,1190,1050,393.75
Suroeste,1990,Montebello,4140,3750,3562.5
Occidente,1990,Olaya,491,370,555
Occidente,1990,Peque,583,566,679.2
Suroeste,1990,Pueblorrico,1978,1785,3391.5
Occidente,1990,Sabanalarga,590,496,1512.8
Suroeste,1990,Salgar,9340,8730,13095
Norte,1990,San Andrés De Cuerquia,1073,1011,1263.75
Oriente,1990,San Carlos,2600,2420,3823.6
Oriente,1990,San Francisco,606,588,312.23
Occidente,1990,San Jerónimo,950,880,1320
Oriente,1990,San Luis,900,900,900
Oriente,1990,San Rafael,2192,2092,1962.3
Nordeste,1990,San Roque,1741,1701,2988.66
Suroeste,1990,Santa Bárbara,3072,2792,4651.47
Occidente,1990,Santa Fe De Antioquia,1080,960,1200
Nordeste,1990,Santo Domingo,1420,1340,1969.8
Oriente,1990,Sonsón,4000,3642,3642
Occidente,1990,Sopetrán,1088,1062,1593
Suroeste,1990,Támesis,4629,3061,4591.5
Suroeste,1990,Tarso,2954,2740,7535
Suroeste,1990,Titiribí,2224,1997,2196.7
Occidente,1990,Uramita,1175,1175,1057.5
Suroeste,1990,Urrao,910,815,733.5
Suroeste,1990,Valparaiso,1800,1600,1760
Suroeste,1990,Venecia,2321,2200,3740
Nordeste,1990,Yalí,593,543,304.08
Norte,1990,Yarumal,832,705,1249.96
Nordeste,1990,Yolombó,2665,2498,2248.2
Oriente,1991,Abejorral,6170,5449,6811.25
Oriente,1991,Alejandría,540,360,540
Suroeste,1991,Amagá,2517,2407,3247.04
Nordeste,1991,Amalfi,2363,2284,4568
Suroeste,1991,Andes,15136.5,12810.9,28824.52
Suroeste,1991,Angelópolis,1024,57,45.49
Norte,1991,Angostura,1267,1250,1625
Nordeste,1991,Anorí,310,300,360
Occidente,1991,Anzá,1750,1000,2500
Oriente,1991,Argelia,2614,2466,2466
Occidente,1991,Armenia,2334,1839,2390.7
Valle de Aburra,1991,Barbosa,1714.5,1342.2,2013.3
Suroeste,1991,Betania,7606,6500,8775
Suroeste,1991,Betulia,6496.3,4957,9294.38
Norte,1991,Briceño,727,682,908.42
Occidente,1991,Buriticá,730.8,700,700
Occidente,1991,Caicedo,826,748,1122
Norte,1991,Campamento,555,543,543
Occidente,1991,Cañasgordas,5010,4736,3552
Magdalena Medio,1991,Caracolí,270,200,150
Suroeste,1991,Caramanta,2740,2600,2437.5
Nordeste,1991,Cisneros,634.5,553.3,724.82
Suroeste,1991,Ciudad Bolívar,13636,11512,16116.8
Oriente,1991,Cocorná,2080,1627,2121.61
Suroeste,1991,Concordia,6463,5000,10125
Occidente,1991,Dabeiba,2445,1450,1812.5
Occidente,1991,Ebéjico,3608,3426,6852
Oriente,1991,El Peñol,550,450,675
Oriente,1991,El Retiro,122,105,155.4
Suroeste,1991,Fredonia,5395,4555,5830.4
Occidente,1991,Frontino,1470,920,2208
Occidente,1991,Giraldo,673.3,642.7,1285.4
Norte,1991,Gómez Plata,1526,1456,1365.73
Oriente,1991,Granada,1664,1460,2482
Occidente,1991,Heliconia,2810,2650,3445
Suroeste,1991,Hispania,1604,1204,1354.5
Norte,1991,Ituango,4307,3072,2641.92
Suroeste,1991,Jardín,3371.5,2877,6401.32
Suroeste,1991,Jericó,5041,4100,6150
Occidente,1991,Liborina,1698,1418,2339.7
Magdalena Medio,1991,Maceo,900,886.5,664.88
Suroeste,1991,Montebello,3189.2,2936.8,2936.8
Oriente,1991,Nariño,4180,4119,4119
Occidente,1991,Olaya,430,385,654.5
Occidente,1991,Peque,573,523,653.75
Suroeste,1991,Pueblorrico,2128,1978,3758.2
Occidente,1991,Sabanalarga,860,670,1500
Suroeste,1991,Salgar,9837,8866,13299
Norte,1991,San Andrés De Cuerquia,1146,1047,2094
Oriente,1991,San Carlos,2559,2210,1933.75
Oriente,1991,San Francisco,729,674,460.34
Occidente,1991,San Jerónimo,996.5,909,1704.38
Oriente,1991,San Luis,932,896,896
Oriente,1991,San Rafael,2195,2172,2172
Nordeste,1991,San Roque,2080,1850,2195.95
Suroeste,1991,Santa Bárbara,3593.5,3093,6186
Occidente,1991,Santa Fe De Antioquia,1365,1200,1800
Nordeste,1991,Santo Domingo,1680,1520,2374.24
Oriente,1991,Sonsón,4000,3642,3642
Occidente,1991,Sopetrán,1193,1135,2099.75
Suroeste,1991,Támesis,4429,3847,6936.14
Suroeste,1991,Tarso,2763.3,2326.7,4944.24
Suroeste,1991,Titiribí,2105,1897,2466.1
Occidente,1991,Uramita,1563.8,1327.8,1161.82
Suroeste,1991,Urrao,966,763,686.7
Suroeste,1991,Valparaiso,2463,2293,3439.5
Suroeste,1991,Venecia,2525,2300,4600
Nordeste,1991,Yalí,571.7,521,656.46
Norte,1991,Yarumal,1111,832,832
Nordeste,1991,Yolombó,2785,2497,2497
Oriente,1992,Abejorral,7008.8,6320,6320
Oriente,1992,Alejandría,566,473,473
Suroeste,1992,Amagá,2538.7,2348.1,3155.85
Nordeste,1992,Amalfi,2540,2300,1299.5
Suroeste,1992,Andes,15040.6,12511.6,28151.1
Suroeste,1992,Angelópolis,1031.3,983.6,1308.19
Norte,1992,Angostura,1361,1230,1230
Nordeste,1992,Anorí,626,556,319.14
Occidente,1992,Anzá,1305,1200,1440
Oriente,1992,Argelia,2498.5,2342.8,2342.8
Occidente,1992,Armenia,2098,2059,2059
Valle de Aburra,1992,Barbosa,1986.5,1727,863.5
Suroeste,1992,Betania,7221,5985,8079.75
Suroeste,1992,Betulia,6514.6,5265.5,9872.81
Occidente,1992,Buriticá,899,816,419.42
Occidente,1992,Caicedo,1394,1195,1941.88
Norte,1992,Campamento,513,493,394.4
Occidente,1992,Cañasgordas,5258.3,4900,3675
Magdalena Medio,1992,Caracolí,338,293,58.6
Suroeste,1992,Caramanta,2735,2700,3240
Nordeste,1992,Cisneros,634.5,546.7,683.38
Suroeste,1992,Ciudad Bolívar,13792,11402,21378.75
Oriente,1992,Cocorná,2143.2,1802.6,2121.66
Suroeste,1992,Concordia,6885.5,5229.1,11765.48
Occidente,1992,Dabeiba,2797,2178,2178
Occidente,1992,Ebéjico,3615,3366,5049
Oriente,1992,El Carmen De Viboral,275,250,300
Oriente,1992,El Peñol,489,450,675
Oriente,1992,El Retiro,165,130,162.5
Suroeste,1992,Fredonia,5391,4651,4929.59
Occidente,1992,Frontino,1581,1170,1742.13
Occidente,1992,Giraldo,551,500,800
Oriente,1992,Granada,1819,1684,1684
Occidente,1992,Heliconia,2825,2810,3653
Suroeste,1992,Hispania,1594,1528,1719
Norte,1992,Ituango,4282,2987,2016.22
Suroeste,1992,Jardín,3412,2819,6342.75
Suroeste,1992,Jericó,5020,4440,6660
Oriente,1992,La Ceja,1733,1563,1953.75
Occidente,1992,Liborina,2333.7,2203.5,2203.5
Magdalena Medio,1992,Maceo,500,472,236
Suroeste,1992,Montebello,2820,2611,3916.5
Oriente,1992,Nariño,4208,4057,4057
Occidente,1992,Olaya,565.6,505.3,707.42
Occidente,1992,Peque,588,558,697.5
Suroeste,1992,Pueblorrico,2225,1800,3240
Occidente,1992,Sabanalarga,823,721,793.1
Suroeste,1992,Salgar,9665,8232,16282.9
Norte,1992,San Andrés De Cuerquia,1183.8,1034.9,1759.33
Oriente,1992,San Carlos,2023,1617,1414.88
Oriente,1992,San Francisco,701,651,444.63
Occidente,1992,San Jerónimo,963,875,787.5
Oriente,1992,San Luis,900,800,640
Oriente,1992,San Rafael,2261,2045,1636
Nordeste,1992,San Roque,2253,1930,1688.75
Suroeste,1992,Santa Bárbara,3801,3361,4369.3
Occidente,1992,Santa Fe De Antioquia,1360,1205,1928
Nordeste,1992,Santo Domingo,1660,1480,1850
Occidente,1992,Sopetrán,1208,1114,835.5
Suroeste,1992,Támesis,4448.1,4281.7,5899.75
Suroeste,1992,Tarso,2831.8,2380.4,3868.15
Suroeste,1992,Titiribí,2081.5,1894,2484.93
Occidente,1992,Uramita,1404,1367.5,1709.38
Suroeste,1992,Urrao,1088,964,1325.5
Suroeste,1992,Valparaiso,2399,2355,3061.5
Nordeste,1992,Vegachí,484.5,484.5,484.5
Suroeste,1992,Venecia,2981,2384,2814.31
Nordeste,1992,Yalí,543.1,505.5,339.7
Norte,1992,Yarumal,856,846,709.79
Nordeste,1992,Yolombó,2551,2210,2210
Oriente,1993,Abejorral,4900,4386,4386
Oriente,1993,Alejandría,519,435,435
Suroeste,1993,Amagá,2386.3,2276.8,2219.88
Nordeste,1993,Amalfi,2196.5,2104,1893.6
Suroeste,1993,Andes,15084.3,13714.6,27429.2
Suroeste,1993,Angelópolis,1024,979,487.54
Norte,1993,Angostura,1360,1283,1227.83
Nordeste,1993,Anorí,207,190,212.8
Occidente,1993,Anzá,1308,1230,1537.5
Oriente,1993,Argelia,2539.4,2418.4,2418.4
Occidente,1993,Armenia,2026.5,1981.2,1981.2
Valle de Aburra,1993,Barbosa,1865,1727,2158.75
Suroeste,1993,Betania,7897,5007,6258.75
Suroeste,1993,Betulia,6527.6,5974.2,11171.75
Norte,1993,Briceño,836,744,595.2
Occidente,1993,Buriticá,904,824,494.4
Occidente,1993,Caicedo,1394,1354,2031
Valle de Aburra,1993,Caldas,569,519,692.86
Norte,1993,Campamento,505,505,242.4
Occidente,1993,Cañasgordas,5362.4,5000,4500
Magdalena Medio,1993,Caracolí,245,200,80
Suroeste,1993,Caramanta,1720,1720,2064
Nordeste,1993,Cisneros,591,582,727.5
Suroeste,1993,Ciudad Bolívar,11643.1,10495,11282.12
Oriente,1993,Cocorná,2157,1933,2275.14
Suroeste,1993,Concordia,6723.6,6104.3,9919.49
Occidente,1993,Dabeiba,2867.4,2586,2586
Occidente,1993,Ebéjico,3300.5,3083.5,4625.25
Oriente,1993,El Carmen De Viboral,330,330,297
Oriente,1993,El Peñol,448,400,480
Oriente,1993,El Retiro,175,135,168.75
Suroeste,1993,Fredonia,5135.8,4269,4705.72
Occidente,1993,Frontino,1520.6,1337,1604.4
Occidente,1993,Giraldo,286,250,300
Oriente,1993,Granada,1750,1700,2262.7
Norte,1993,Guadalupe,715,685,685
Occidente,1993,Heliconia,2417.9,2361.9,1948.57
Suroeste,1993,Hispania,1394,1328,1494
Norte,1993,Ituango,4326,4167,4375.35
Suroeste,1993,Jardín,3455.9,3020.7,6796.58
Suroeste,1993,Jericó,4681,4326,7354.2
Oriente,1993,La Ceja,1537,1417,1771.25
Occidente,1993,Liborina,2259,2150,2580
Magdalena Medio,1993,Maceo,450,450,225
Suroeste,1993,Montebello,3250,2903,3109.11
Oriente,1993,Nariño,3950,3832,3065.6
Occidente,1993,Olaya,570.6,455.3,637.42
Occidente,1993,Peque,595,576,633.6
Suroeste,1993,Pueblorrico,2110,2070,3881.25
Occidente,1993,Sabanalarga,823,741,741
Suroeste,1993,Salgar,8952,8569,16709.55
Norte,1993,San Andrés De Cuerquia,1222.7,1197.9,1326.67
Oriente,1993,San Carlos,2005,1861.5,1489.2
Oriente,1993,San Francisco,648,606,393.9
Occidente,1993,San Jerónimo,985,948,853.2
Oriente,1993,San Luis,1000,833,533.12
Oriente,1993,San Rafael,2233,2062,1958.9
Nordeste,1993,San Roque,1753,1750,1081.5
Suroeste,1993,Santa Bárbara,3855,3561,4629.3
Occidente,1993,Santa Fe De Antioquia,1365,1313,1969.5
Nordeste,1993,Santo Domingo,1665,1565,1565
Oriente,1993,Sonsón,5027,4695,5305.35
Occidente,1993,Sopetrán,1164,987,947.52
Suroeste,1993,Támesis,4383.7,4281,6823.91
Suroeste,1993,Tarso,2686.4,2370.4,3555.6
Suroeste,1993,Titiribí,2081.5,2026,2658.11
Norte,1993,Toledo,941.2,884.2,839.99
Occidente,1993,Uramita,1405,1358,556.78
Suroeste,1993,Urrao,1035,1009,1891.88
Suroeste,1993,Valparaiso,1718,1708,2049.6
Nordeste,1993,Vegachí,334,334,334
Suroeste,1993,Venecia,2623,2623,2885.3
Nordeste,1993,Yalí,363.5,334,200.4
Norte,1993,Yarumal,849,816,714
Nordeste,1993,Yolombó,2349,2322,1500.01
Oriente,1994,Abejorral,5053,4728,5200.8
Occidente,1994,Abriaquí,92,69,77.6
Oriente,1994,Alejandría,521,437,396.3
Suroeste,1994,Amagá,2419,2342,2283.5
Nordeste,1994,Amalfi,2201.5,2093,1883.7
Suroeste,1994,Andes,14763.8,14373.9,25154.3
Suroeste,1994,Angelópolis,1034,992,649.8
Norte,1994,Angostura,1379,1354,1137.4
Nordeste,1994,Anorí,207,200,225
Occidente,1994,Anzá,1313,1295,906.5
Oriente,1994,Argelia,2549,2453,2943.6
Occidente,1994,Armenia,2026.8,1990.8,1990.8
Valle de Aburra,1994,Barbosa,1801,1761,2201.3
Suroeste,1994,Betania,7651,6806,8507.5
Suroeste,1994,Betulia,6567,5987,10177.9
Norte,1994,Briceño,797,797,797
Occidente,1994,Buriticá,914,884,812.4
Occidente,1994,Caicedo,1404,1344,1209.6
Norte,1994,Campamento,490,481.5,270.8
Occidente,1994,Cañasgordas,4948,4800,4800
Magdalena Medio,1994,Caracolí,220,220,110
Suroeste,1994,Caramanta,1680.9,1677.4,2306.4
Nordeste,1994,Cisneros,557.5,526.5,658.1
Suroeste,1994,Ciudad Bolívar,10736,10243,15333.8
Oriente,1994,Cocorná,2165.5,2073,2280.3
Oriente,1994,Concepción,109,109,87.5
Suroeste,1994,Concordia,6935,6505,11448.8
Occidente,1994,Dabeiba,2885,2765,2765
Norte,1994,Don Matías,423,423,423
Occidente,1994,Ebéjico,3423.1,3182.4,4773.6
Oriente,1994,El Carmen De Viboral,330,325,260
Oriente,1994,El Peñol,448,403,362.7
Oriente,1994,El Retiro,177,155,193.8
Suroeste,1994,Fredonia,5144.8,4943.7,5731.7
Occidente,1994,Frontino,1238,1190,1428
Occidente,1994,Giraldo,588,535,722.3
Norte,1994,Gómez Plata,800,780,975
Oriente,1994,Granada,1760,1700,1870
Norte,1994,Guadalupe,715,595,743.8
Occidente,1994,Heliconia,2420.4,2331.9,2565.1
Suroeste,1994,Hispania,1166,1163,1308.4
Norte,1994,Ituango,4276,4233,3039.3
Suroeste,1994,Jardín,3475,3249,5848.2
Suroeste,1994,Jericó,4783,4457,6685.5
Oriente,1994,La Ceja,1530,1530,1759.5
Occidente,1994,Liborina,2267,2257,2257
Magdalena Medio,1994,Maceo,310.2,310,224.8
Suroeste,1994,Montebello,3133,3007,2598
Oriente,1994,Nariño,3000,3000,2400
Occidente,1994,Olaya,573.3,508.3,610
Occidente,1994,Peque,593,583,655.9
Suroeste,1994,Pueblorrico,2105,2003,3405.1
Occidente,1994,Sabanalarga,823,818,736.2
Suroeste,1994,Salgar,8256.4,7760.4,13192.7
Norte,1994,San Andrés De Cuerquia,1232,1200,1320
Oriente,1994,San Carlos,1932,1751,1400.8
Oriente,1994,San Francisco,648,639,370.6
Occidente,1994,San Jerónimo,986.2,980,882
Oriente,1994,San Luis,1000,933,597.1
Oriente,1994,San Rafael,2305,2299,2046.1
Nordeste,1994,San Roque,1753,1743,1568.7
Suroeste,1994,Santa Bárbara,3857,3801,4181.1
Occidente,1994,Santa Fe De Antioquia,1373,1336,1603.2
Nordeste,1994,Santo Domingo,1668,1545,1931.3
Oriente,1994,Sonsón,5030,4953,5596.9
Occidente,1994,Sopetrán,1193,1113,1413.1
Suroeste,1994,Támesis,4456,4436,7071
Suroeste,1994,Tarso,2484,2311,3235.4
Suroeste,1994,Titiribí,1855,1855,7071
Norte,1994,Toledo,942.9,912.7,867.1
Occidente,1994,Uramita,1408,1346,1076.8
Suroeste,1994,Urrao,1035,1023,1406.6
Suroeste,1994,Valparaiso,1715,1715,2393
Nordeste,1994,Vegachí,344,254,203.2
Suroeste,1994,Venecia,2606,2538,2058
Nordeste,1994,Yalí,313.5,275.5,143.2
Norte,1994,Yarumal,868,847,741.1
Nordeste,1994,Yolombó,1974,1967,1573.6
Oriente,1995,Abejorral,5053,4993,5492.3
Occidente,1995,Abriaquí,97,72,81
Oriente,1995,Alejandría,531,506,455.4
Suroeste,1995,Amagá,2424,2404,2343.9
Nordeste,1995,Amalfi,2221.5,2211.5,1990.4
Suroeste,1995,Andes,14813.9,14138.4,22974.9
Suroeste,1995,Angelópolis,1039,978,782.4
Norte,1995,Angostura,1378,1341.5,1086.6
Nordeste,1995,Anorí,217,207,232.9
Occidente,1995,Anzá,1325,1283,1153.5
Oriente,1995,Argelia,2557,2509,2509
Occidente,1995,Armenia,2028,2009,2009
Valle de Aburra,1995,Barbosa,1801,1801,1566.9
Suroeste,1995,Betania,7831,7216,9020
Suroeste,1995,Betulia,6615.6,6132.7,10425.6
Norte,1995,Briceño,802,792,1188
Occidente,1995,Buriticá,917,907,566.9
Occidente,1995,Caicedo,1419,1344,1209.6
Norte,1995,Campamento,492,488.5,492.4
Occidente,1995,Cañasgordas,4970,4772,4772
Magdalena Medio,1995,Caracolí,220,220,110
Suroeste,1995,Caramanta,1682.5,1558,1402.2
Nordeste,1995,Cisneros,563,557,696.3
Suroeste,1995,Ciudad Bolívar,10831,10081,15746.5
Oriente,1995,Cocorná,2151,2065,2581.3
Oriente,1995,Concepción,109,109,87.2
Suroeste,1995,Concordia,7035,6768.5,11912.6
Occidente,1995,Dabeiba,2900,2855,3426
Norte,1995,Don Matías,423,423,423
Occidente,1995,Ebéjico,3433,3131.3,4070.7
Oriente,1995,El Carmen De Viboral,330,325,260
Oriente,1995,El Peñol,453,448,403.2
Oriente,1995,El Retiro,179,167,208.8
Suroeste,1995,Fredonia,5164.8,5056.8,6573.8
Occidente,1995,Frontino,1600,1580,1896
Occidente,1995,Giraldo,593,561,757.4
Norte,1995,Gómez Plata,778,745,931.3
Oriente,1995,Granada,1760,1760,1936
Norte,1995,Guadalupe,730,715,1072.5
Occidente,1995,Heliconia,2429,2258.3,2856.7
Suroeste,1995,Hispania,1166,1163,1308.4
Norte,1995,Ituango,4375.5,4307.5,3984.4
Suroeste,1995,Jardín,3480,3339,5676.3
Suroeste,1995,Jericó,2137,1759,2286.7
Oriente,1995,La Ceja,1523,1500,1875
Occidente,1995,Liborina,2272,2257,2257
Magdalena Medio,1995,Maceo,310.5,285,249.4
Suroeste,1995,Montebello,1825,1790,1790
Oriente,1995,Nariño,3275,3000,3000
Occidente,1995,Olaya,572.9,564.3,677.2
Occidente,1995,Peque,596,583,670.5
Suroeste,1995,Pueblorrico,2105,1954,3321.8
Occidente,1995,Sabanalarga,828,823,740.7
Suroeste,1995,Salgar,8787,8417,15571.5
Norte,1995,San Andrés De Cuerquia,1265,1212,1454.4
Oriente,1995,San Carlos,1661,1611,2013.8
Oriente,1995,San Francisco,598,598,427.6
Occidente,1995,San Jerónimo,1001,980,882
Oriente,1995,San Luis,1005,1000,640
Oriente,1995,San Rafael,2075,2031,1015.5
Nordeste,1995,San Roque,1757,1733,2166.3
Suroeste,1995,Santa Bárbara,3023,2968,3339
Occidente,1995,Santa Fe De Antioquia,1383,1343,1611.6
Nordeste,1995,Santo Domingo,1670,1545,1545
Oriente,1995,Sonsón,5050,5010,5661.3
Occidente,1995,Sopetrán,1198,1191.5,1072.4
Suroeste,1995,Támesis,4493.9,4426,4868.6
Suroeste,1995,Tarso,2494,2298,3217.2
Suroeste,1995,Titiribí,1844.5,1829.5,2012.5
Norte,1995,Toledo,914.2,905,859.8
Occidente,1995,Uramita,1213,1115,1307.9
Suroeste,1995,Urrao,1041,1025,1409.4
Suroeste,1995,Valparaiso,1550,1465,1180.8
Nordeste,1995,Vegachí,254,240,192
Suroeste,1995,Venecia,2592,2441,2685.1
Nordeste,1995,Yalí,313.5,313.5,163
Norte,1995,Yarumal,864,807,706.1
Nordeste,1995,Yolombó,1979.9,1958.7,1175.2
Oriente,1996,Abejorral,5053,4933,4439.7
Occidente,1996,Abriaquí,100,92,103.5
Oriente,1996,Alejandría,546,521,468.9
Suroeste,1996,Amagá,2424,2414,1689.8
Suroeste,1996,Andes,14968,14224,14224
Suroeste,1996,Angelópolis,1039,929,710.7
Norte,1996,Angostura,1280,1240,1016.8
Nordeste,1996,Anorí,217,207,186.3
Occidente,1996,Anzá,1313,1286,1156.1
Oriente,1996,Argelia,2735,2686.3,3022.1
Occidente,1996,Armenia,1972,1942,776.8
Valle de Aburra,1996,Barbosa,1801,1801,1260.7
Suroeste,1996,Betania,7741,6901,5175.8
Suroeste,1996,Betulia,6372.7,5167.4,4909
Norte,1996,Briceño,832,810,708.8
Occidente,1996,Buriticá,908,893,424.2
Occidente,1996,Caicedo,1408,1360,952
Norte,1996,Campamento,389,380,171
Occidente,1996,Cañasgordas,3702,3624,2174.4
Magdalena Medio,1996,Caracolí,210,210,105
Suroeste,1996,Caramanta,1632,1631,1060.2
Nordeste,1996,Cisneros,562,547,437.6
Suroeste,1996,Ciudad Bolívar,10926,9884,10279.4
Oriente,1996,Cocorná,1803,1586,1427.4
Oriente,1996,Concepción,109,109,87.2
Suroeste,1996,Concordia,7055,5975,5879.4
Occidente,1996,Dabeiba,2900,2900,2900
Norte,1996,Don Matías,181,181,117.7
Occidente,1996,Ebéjico,3133,2613,2613
Oriente,1996,El Carmen De Viboral,332,330,198
Oriente,1996,El Peñol,453,443,398.7
Oriente,1996,El Retiro,157,155,116.3
Suroeste,1996,Fredonia,5165,4823,5049.7
Occidente,1996,Frontino,974,950,1140
Occidente,1996,Giraldo,568,561,490.9
Norte,1996,Gómez Plata,778,758,833.8
Oriente,1996,Granada,1742,1738,1738
Norte,1996,Guadalupe,420,400,356
Occidente,1996,Heliconia,2437.9,2272.9,1022.8
Suroeste,1996,Hispania,1166,1163,1279.3
Norte,1996,Ituango,3129.5,3092.8,2907.2
Suroeste,1996,Jardín,3480,3480,4176
Suroeste,1996,Jericó,2197,1827,2192.4
Oriente,1996,La Ceja,1523,1516,1364.4
Occidente,1996,Liborina,2272,2267,2040.3
Magdalena Medio,1996,Maceo,748,729,510.3
Suroeste,1996,Montebello,3505,3480,2262
Oriente,1996,Nariño,3325,3325,2992.5
Occidente,1996,Peque,824,793,555.1
Suroeste,1996,Pueblorrico,2106,1926,2407.5
Occidente,1996,Sabanalarga,1388,1388,1111.8
Suroeste,1996,Salgar,8785,8104,10940.4
Norte,1996,San Andrés De Cuerquia,1221,1173,1358.3
Oriente,1996,San Carlos,1521.3,1491.6,1491.6
Oriente,1996,San Francisco,500,500,325
Occidente,1996,San Jerónimo,926,900,810
Oriente,1996,San Luis,980,940,564
Oriente,1996,San Rafael,2075,2053,1909.3
Nordeste,1996,San Roque,1759,1733,1559.7
Suroeste,1996,Santa Bárbara,3433,3321,1660.5
Occidente,1996,Santa Fe De Antioquia,1400,1369,1642.8
Norte,1996,Santa Rosa De Osos,155,142,124.3
Nordeste,1996,Santo Domingo,1670,1653,1653
Oriente,1996,Sonsón,3591,3516,1318.5
Occidente,1996,Sopetrán,1203,1198,1078.2
Suroeste,1996,Támesis,3922,3552,3108
Suroeste,1996,Tarso,2425,2400,2700
Suroeste,1996,Titiribí,1825,1820,1301.3
Norte,1996,Toledo,944.4,936.4,889.6
Occidente,1996,Uramita,1213,1213,1273.7
Suroeste,1996,Urrao,1041,924,1233.5
Suroeste,1996,Valparaiso,830,700,630
Nordeste,1996,Vegachí,234,234,130.1
Suroeste,1996,Venecia,2532,2369,2072.9
Nordeste,1996,Yalí,313.5,313.5,172.4
Norte,1996,Yarumal,834,781,751.3
Nordeste,1996,Yolombó,1885,1831,1098.6
Oriente,1997,Abejorral,5046,5016,5016
Occidente,1997,Abriaquí,100,100,112.5
Oriente,1997,Alejandría,581,514,514
Suroeste,1997,Amagá,1200,1135,889.8
Nordeste,1997,Amalfi,2181,1882,1693.8
Suroeste,1997,Andes,8583.5,8160.7,8160.7
Suroeste,1997,Angelópolis,1012,977,520.7
Norte,1997,Angostura,1301,1273,774
Nordeste,1997,Anorí,219,215,241.9
Occidente,1997,Anzá,1307,1286,1205
Oriente,1997,Argelia,2753,2693,2962.3
Occidente,1997,Armenia,1940,1910,1719
Valle de Aburra,1997,Barbosa,1801,1801,1458.8
Suroeste,1997,Betania,6000,5902,6639.8
Suroeste,1997,Betulia,4110,3752,3189.2
Norte,1997,Briceño,835,810,708.8
Occidente,1997,Buriticá,936,896,560
Occidente,1997,Caicedo,1134,1111,909.9
Norte,1997,Campamento,374,320,208
Occidente,1997,Cañasgordas,2520,2494,1346.8
Magdalena Medio,1997,Caracolí,22,22,11
Suroeste,1997,Caramanta,1632,1632,1044.5
Nordeste,1997,Cisneros,315,290,362.5
Suroeste,1997,Ciudad Bolívar,8469,7523,9403.8
Oriente,1997,Cocorná,1467,1393,1532.3
Oriente,1997,Concepción,109,109,87.2
Suroeste,1997,Concordia,5283.5,4351.5,6309.7
Occidente,1997,Dabeiba,2900,2900,2900
Norte,1997,Don Matías,181,181,162.9
Occidente,1997,Ebéjico,2075,2030,2030
Oriente,1997,El Carmen De Viboral,332,320,192
Oriente,1997,El Peñol,453,453,362.4
Oriente,1997,El Retiro,157,157,117.8
Suroeste,1997,Fredonia,2857,2786,3621.8
Occidente,1997,Frontino,978,968,1161.6
Occidente,1997,Giraldo,570,568,340.8
Norte,1997,Gómez Plata,810,800,960
Oriente,1997,Granada,1744,1742,2264.6
Norte,1997,Guadalupe,555,550,467.5
Occidente,1997,Heliconia,2475.7,2421.9,2082.8
Suroeste,1997,Hispania,1160,1160,1160
Norte,1997,Ituango,3060,2955,2585.6
