ingrediente,departamento,municipio,topografia,textura_de_suelo,epoca_recoleccion,altura_corte_cm,altura_planta_cm,edad_corte_d,proteina,ceniza,extracto_etereo,FDN,FDA,lignina,hemicelulosa,almidon,carbohidratos_noes,carbohidratos_solubles,digestibilidad_ms,energia_digestible,energia_metabolizable,energia_neta_manten,energia_neta_ganancia,energia_neta_lactancia
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Putumayo,Sibundoy,Plana,ND,Transición sequía a lluvia,5,25,35,18.35,9.62,3.14,50.45,26.37,5.15,24.08,8.78,13.57,4.8,65.85,2.76,2.21,1.34,0.77,1.36
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Putumayo,Sibundoy,Plana,ND,Transición sequía a lluvia,5,25,35,26.8,10.69,3.26,46.55,26.22,5.14,20.33,8.28,11.76,3.48,72.62,3.12,2.48,1.59,0.99,1.51
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Lluvia,10,48,77,12.36,10,2.8,62.84,33.34,8.03,29.5,5.79,9.05,3.27,58.88,2.46,1.92,1.08,0.52,1.2
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Lluvia,10,48,77,12.08,10.06,2.77,62.87,34.29,8.04,28.58,5.85,9.83,3.98,58.35,2.43,1.9,1.06,0.5,1.19
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Lluvia,10,48,77,11.67,9.74,2.67,62.8,34.07,8.33,28.73,6.18,10.14,3.97,58.1,2.41,1.89,1.05,0.49,1.18
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco arcilloso,Lluvia,10,48,77,11.68,9.56,2.85,63.75,34.22,8.18,29.53,6.11,10.27,4.16,58.06,2.42,1.89,1.05,0.49,1.18
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,12,42,13.01,11.1,2.71,49.16,28.65,5.72,20.51,5.25,12.23,6.99,60.87,2.5,2,1.16,0.59,1.24
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,12,42,13.12,9.47,2.65,44.64,25.4,5,19.24,5.18,12.4,7.22,61.98,2.56,2.05,1.2,0.63,1.27
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,12,42,18.01,10.84,2.39,49.38,28.54,5.38,20.84,6.04,11.3,5.25,64.89,2.69,2.17,1.31,0.73,1.34
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,10,35,14.02,10.14,2.56,49.88,28.45,5.54,21.43,4.89,10.74,5.86,61.74,2.56,2.04,1.19,0.63,1.26
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,10,35,14.17,10.2,2.66,42.24,23.14,4.29,19.1,5.76,13.93,8.17,63.53,2.62,2.11,1.26,0.69,1.3
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,10,35,15.19,9.77,2.39,45.31,25,4.7,20.31,5.15,11.26,6.11,63.76,2.64,2.12,1.27,0.7,1.31
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,8,28,13.13,10.04,2.57,46.11,27.15,5.11,18.96,3.08,9.13,6.05,61.44,2.53,2.03,1.18,0.61,1.26
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,8,28,14.48,9.94,2.54,42.98,24.66,4.28,18.32,5.56,11.54,5.98,63.3,2.62,2.1,1.25,0.68,1.3
"Ryegrass perenne - Lolium perenne - Hoja, Tallo",Cundinamarca,Mosquera,Plana,Franco,Sequía,5,8,28,18.97,11.98,2.89,43.81,26.24,4.48,17.57,5.31,12.1,6.79,66.38,2.78,2.23,1.36,0.79,1.37
