departamento,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_t_ha
Caldas,La merced,Lima,2007,20,15,380,25.33
Caldas,La dorada,Lima,2009,25,25,430,17.2
Caldas,La dorada,Lima,2010,25,25,430,17.2
Cundinamarca,Quebradanegra,Lima,2016,16,15,60,4
Cundinamarca,Vergara,Lima,2016,5,5,80,16
Cundinamarca,Anapoima,Lima,2017,108,101,2020,20
Cundinamarca,Vergara,Lima,2017,5,5,77,16
Cundinamarca,Anapoima,Lima,2018,128,101,2020,20
Cundinamarca,Vergara,Lima,2018,5,5,31,6.5
Antioquia,Venecia,Lima,2007,104,93,2790,30
Antioquia,Tamesis,Lima,2007,24,24,411,16.9
Antioquia,Dabeiba,Lima,2007,12,12,144,12
Antioquia,Fredonia,Lima,2007,11,11,275,25
Antioquia,Tarso,Lima,2007,8,8,195,25
Antioquia,Valparaiso,Lima,2007,6,6,120,20
Risaralda,Pereira,Lima,2007,65,65,2275,35
Antioquia,Venecia,Lima,2008,83,72,1800,25
Antioquia,Tamesis,Lima,2008,24,24,409,16.83
Antioquia,Fredonia,Lima,2008,21,11,220,20
Antioquia,Dabeiba,Lima,2008,14,12,144,12
Antioquia,Tarso,Lima,2008,8,8,172,22
Antioquia,Valparaiso,Lima,2008,6,6,120,20
Risaralda,Pereira,Lima,2008,68,56,1112,19.86
Antioquia,Venecia,Lima,2009,123,83,2905,35
Antioquia,Fredonia,Lima,2009,70,21,420,20
Antioquia,Necocli,Lima,2009,25,25,63,2.5
Antioquia,Tamesis,Lima,2009,24,24,365,15
Antioquia,Dabeiba,Lima,2009,14,12,144,12
Antioquia,Tarso,Lima,2009,8,8,172,22
Antioquia,Medellin,Lima,2009,5,3,24,8
Antioquia,Valparaiso,Lima,2009,2,2,40,20
Risaralda,Pereira,Lima,2009,87,35,700,20
Santander,Rionegro,Lima,2009,197,150,3300,22
Antioquia,Venecia,Lima,2010,118,78,2730,35
Antioquia,Fredonia,Lima,2010,70,21,420,20
Antioquia,Tamesis,Lima,2010,24,24,371,15.25
Antioquia,Dabeiba,Lima,2010,24,12,144,12
Antioquia,Necocli,Lima,2010,16,16,40,2.5
Antioquia,Tarso,Lima,2010,8,8,172,22
Antioquia,Sopetran,Lima,2010,7,7,14,2
Antioquia,Medellin,Lima,2010,6,5,40,8
Antioquia,Liborina,Lima,2010,3,3,5,2
Antioquia,Valparaiso,Lima,2010,2,2,40,20
Antioquia,La pintada,Lima,2010,1,1,31,26
Atlantico,Santo tomas,Lima,2010,27,22,330,15
Risaralda,Pereira,Lima,2010,57,37,740,20
Santander,Rionegro,Lima,2010,222,197,4334,22
Antioquia,Venecia,Lima,2011,209,118,3540,30
Antioquia,Fredonia,Lima,2011,70,19,76,4
Antioquia,Dabeiba,Lima,2011,28,14,168,12
Antioquia,Tamesis,Lima,2011,24,24,343,14.1
Antioquia,Yondo,Lima,2011,14,5,8,1.6
Antioquia,Necocli,Lima,2011,10,10,20,2
Antioquia,Tarso,Lima,2011,8,8,179,23
Antioquia,Sopetran,Lima,2011,7,7,18,2.5
Antioquia,Liborina,Lima,2011,3,3,8,3
Antioquia,La pintada,Lima,2011,2,2,41,27
Atlantico,Santo tomas,Lima,2011,27,22,352,16
Casanare,Tauramena,Lima,2011,14,14,70,5
Risaralda,Pereira,Lima,2011,71,71,2836,40
Risaralda,Marsella,Lima,2011,2,1,21,16
Santander,Rionegro,Lima,2011,230,204,4488,22
Antioquia,Venecia,Lima,2012,258,95,2375,25
Antioquia,Fredonia,Lima,2012,70,19,380,20
Antioquia,Dabeiba,Lima,2012,28,24,288,12
Antioquia,Tamesis,Lima,2012,24,24,343,14.1
Antioquia,Yondo,Lima,2012,14,5,13,2.5
Antioquia,Tarso,Lima,2012,8,8,179,23
Antioquia,Sopetran,Lima,2012,7,7,18,2.5
Antioquia,Liborina,Lima,2012,3,3,11,4.52
Antioquia,Valparaiso,Lima,2012,2,2,40,20
Antioquia,La pintada,Lima,2012,2,2,45,30
Atlantico,Santo tomas,Lima,2012,22,22,352,16
Risaralda,Pereira,Lima,2012,62,62,2468,40
Risaralda,Balboa,Lima,2012,6,6,74,12.33
Santander,Rionegro,Lima,2012,220,140,1400,10
Tolima,Guamo,Lima,2012,1120,820,12300,15
Antioquia,Venecia,Lima,2013,273,161,3703,23
Antioquia,Fredonia,Lima,2013,70,70,1400,20
Antioquia,Dabeiba,Lima,2013,53,28,336,12
Antioquia,Tamesis,Lima,2013,30,24,343,14.1
Antioquia,Uramita,Lima,2013,18,3,3,1
Antioquia,Titiribi,Lima,2013,12,2,40,20
Antioquia,Yondo,Lima,2013,10,10,10,1
Antioquia,Tarso,Lima,2013,8,8,195,25
Antioquia,Sopetran,Lima,2013,7,7,20,2.8
Antioquia,Puerto triunfo,Lima,2013,4,2,2,1
Antioquia,Liborina,Lima,2013,3,3,11,4.52
Antioquia,Heliconia,Lima,2013,2,2,20,10
Antioquia,Valparaiso,Lima,2013,2,2,40,20
Atlantico,Santo tomas,Lima,2013,19,19,475,25
Risaralda,Pereira,Lima,2013,80,64,2560,40
Risaralda,Balboa,Lima,2013,2,2,50,25
Santander,Rionegro,Lima,2013,400,163,1630,10
Santander,Barrancabermeja,Lima,2013,17,10,162,16
Santander,Pinchote,Lima,2013,17,13,130,10
Tolima,Guamo,Lima,2013,420,300,4500,15
Antioquia,Venecia,Lima,2014,275,233,5359,23
Antioquia,Fredonia,Lima,2014,70,70,1400,20
Antioquia,Uramita,Lima,2014,55,27,729,27
Antioquia,Dabeiba,Lima,2014,53,28,336,12
