encuesta,fecha,tamano_de_muestra,margen_de_error,blanco,gustavo_petro,federico_gutierrez,rodolfo_hernandez,sergio_fajardo,ingrid_betancourt,enrique_gomez
Atlasintel,2022-05-20,2781,2,NA,40,26.7,21.4,8.8,0.2,NA
CELAG,2022-05-20,2174,2.1,3.6,45.1,20.1,20.4,4.9,NA,NA
Guarumo,2022-05-19,2258,2.5,2.4,37.9,30.8,20.3,4.3,0.8,0.5
CNC[c]​,2022-05-19,3860,1.5,6.6,41,23.9,21.9,4.5,0.7,0.3
CNC[c]​,2022-05-19,4412,1.5,5.7,35.8,20.8,19.1,4,0.6,0.3
Mosqueteros[d]​,2022-05-18,6000,1.27,7.93,44.73,22.42,15.84,6.92,0.61,0.58
Invamer,2022-05-18,1312,2.71,4.6,40.6,27.1,20.9,5.1,0.8,0.3
CNC,2022-05-13,6204,1.2,6,38,23,16,7,1,0
TYSE,2022-05-08,8000,2.7,6.19,36.64,21.4,10.9,6.06,0.88,1.3
Yanhaas,2022-05-07,1232,3.2,13,40,21,12,7,1,0.3
Guarumo,2022-04-29,2132,2.5,5.7,36.4,30.6,12.4,6.9,1.3,1.1
Invamer,2022-04-27,1409,2.55,5.7,43.6,26.7,13.9,6.5,0.5,1.1
CNC,2022-04-21,4599,1.4,7.6,38,23.8,9.6,7.2,0.9,0.3
CELAG,2022-04-19,3064,2.19,6.6,42.6,21.8,11.5,9.2,1,NA
CNC,2022-04-07,1965,2.2,4,34,23,12,9,2,0
Guarumo,2022-04-01,1865,2.5,10.3,34,25,9.3,9.5,2.6,1.6
CNC,2022-03-31,4206,1.5,8.1,36.5,24.5,10,8.4,1.5,0.5
CNC,2022-03-19,2143,2.1,5,32,23,10,10,3,1
Yanhaas,2022-03-19,1236,3.2,16,37,19,11,10,2,0.3
Invamer,2022-03-04,1504,2.92,1.9,44.6,NA,13.1,NA,6.2,1
Invamer,2021-12-05,1200,3.49,1.2,42.1,NA,13.8,NA,NA,NA
AtlasIntel,2022-03-12,2736,2,2.4,35.2,11.4,11.2,11.3,1.5,NA
Guarumo,2022-03-06,2345,2.5,4.8,32.7,7.7,8.2,9.1,3.3,NA
CELAG,2022-02-08,2126,2.19,11.8,28.1,2.2,4.1,7.2,NA,NA
Yanhaas,2022-02-06,1225,3.2,19,27,3,12,7,2,NA
CNC,2022-02-05,2206,2.1,11,27,4,14,6,7,NA
Yanhaas,2021-12-13,1230,2.8,18,25,3,13,8,NA,NA
CNC,2021-12-11,4093,1.5,17.4,25.4,3.3,11,7.3,NA,NA
CNC,2021-11-12,1069,3,7,22,5,6,5,NA,NA
Datexco,2021-11-02,1200,NA,9,26,6,7,10,NA,NA
CNC,2021-10-16,2012,NA,22.5,19.7,3,4.6,5.8,NA,NA
CNC,2021-09-08,2019,2.4,23,17,4,5,7,NA,NA
Guarumo,2021-08-19,1367,2.5,10.8,21.6,8.9,3.3,12.7,NA,NA
Invamer,2021-08-13,1008,4.4,4.6,30.2,6.4,11,14.5,NA,NA
CNC,2021-06-26,2077,2.4,26,21,3,NA,6,NA,NA
CELAG,2021-06-10,1945,NA,14.3,30.3,4.9,NA,14.7,NA,NA
Guarumo,2021-05-25,1480,NA,20.4,20.6,8.5,NA,9.8,NA,NA
CNC,2021-05-15,2001,NA,25,25,2,NA,6,NA,NA
Guarumo,2021-04-28,1370,NA,NA,24.2,9.7,NA,16.9,NA,NA
Invamer,2021-04-21,1008,5,4.6,38.3,5.2,NA,15.9,NA,NA
CNC,2021-03-23,4435,NA,8,23,6,4,12,NA,NA
Datexco,2021-03-16,1200,2.8,5,19,4,4,11,NA,NA
Invamer,2020-11-26,1008,3,3.9,25.9,6.7,NA,20.5,NA,NA
Guarumo,2020-10-02,1257,NA,NA,13.4,12.1,1,18.1,NA,NA
CNC,2020-09-08,809,NA,3,16,5,NA,20,NA,NA
Guarumo,2020-08-15,1876,NA,NA,16.5,12.4,NA,23.1,NA,NA
Invamer,2020-08-13,1008,5,2,30.9,10.8,NA,25.9,NA,NA
CNC,2020-08-06,1207,4,NA,18,8,NA,16,NA,NA
Invamer,2020-08-04,1008,5,2.1,32.9,8.9,NA,19.9,NA,NA
CNC,2022-05-19,4412,1.5,7.5,46.5,NA,NA,NA,20.9,NA
CNC,2022-05-19,4412,1.5,5.5,NA,NA,NA,32,NA,NA
Mosqueteros,2022-05-18,6000,1.27,24.1,50.1,NA,NA,25.8,NA,NA
Invamer,2022-05-18,1125,2.92,3.2,57.8,NA,NA,39,NA,NA
Invamer,2022-04-27,1215,2.55,3.1,56.5,NA,NA,40.4,NA,NA
CNC,2022-05-19,4412,1.5,5.2,NA,34.9,NA,NA,NA,NA
Mosqueteros,2022-05-18,6000,1.27,18.6,NA,30.5,NA,NA,NA,NA
Invamer,2022-05-18,1205,2.82,3.1,52.7,44.2,NA,NA,NA,NA
Invamer,2022-04-27,1306,2.55,2.4,52.4,45.2,NA,NA,NA,NA
CNC,2022-05-19,3860,1.5,3.7,40.5,NA,40.5,NA,NA,NA
Mosqueteros,2022-05-18,6000,1.27,19.7,NA,NA,35,NA,NA,NA
Invamer,2022-05-18,1195,2.83,2.6,50,NA,47.4,NA,NA,NA
Invamer,2022-04-27,1243,2.55,3.4,56,NA,40.6,NA,NA,NA
Invamer,2022-03-04,1504,2.92,NA,NA,28.9,NA,37.8,NA,NA
Invamer,2021-12-05,1200,3.49,0.7,NA,NA,NA,43.5,NA,NA
Invamer,2021-12-05,1200,3.49,1,NA,26.4,NA,NA,NA,NA
