NoBloc,NoTraitement,test_type,NtotDose,PtotDose,KtotDose,NsemisDose,NfracDose,LatDD,LonDD,Annee,DatePlantation,DensitePlants,PrecCropFiveClasses,Cultivar,Maturity5,pH1dans1,MOsol,CaSol,MgSol,Ksol,CuSol,ZnSol,FeSol,MnSol,AlSol,Psol,Texture,ArgileMesure,SableMesure,LimonCentroid,Yield
1,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,18.9442
1,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,40.3518
1,3,N,100,190,270,100,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,33.0379
1,4,N,130,190,270,130,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,37.5505
1,5,N,160,190,270,160,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,46.0089
1,6,N,190,190,270,160,30,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,41.0167
1,7,N,220,190,270,160,60,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,46.7937
1,8,N,250,190,270,160,90,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.062,3.54,586.7158672,59.37604831,99.53035894,1.61019792,3.11975847,180.6440792,5.736330091,2081.180812,20.98738007,Sable loameux,1.6,73.2,12.1,47.0117
2,1,N,0,190,270,0,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.166,3.54,986.1722187,67.88183532,264.6448774,1.697045883,4.619736015,179.132621,7.919547454,1840.163419,15.90806474,Sable loameux,1.6,73.2,12.1,15.1183
2,2,N,70,190,270,70,0,46.753056,-72.338611,2003,2003-05-19,31226,Cereal,Goldrush,mid-season,5.166,3.54,986.1722187,67.88183532,264.6448774,1.697045883,4.619736015,179.132621,7.919547454,1840.163419,15.90806474,Sable loameux,1.6,73.2,12.1,36.2643
