Id,Name,Value,Date
Embalse,AGREGADO BOGOTA,0.56487,2024-03-09
Embalse,ALTOANCHICAYA,0.02994,2024-03-09
Embalse,AMANI,0.445,2024-03-09
Embalse,BETANIA,0.77697,2024-03-09
Embalse,CALIMA1,0.55015,2024-03-09
Embalse,CHUZA,0.20459,2024-03-09
Embalse,EL QUIMBO,0.26827,2024-03-09
Embalse,ESMERALDA,0.3136,2024-03-09
Embalse,GUAVIO,0.14377,2024-03-09
Embalse,ITUANGO,0.08449,2024-03-09
Embalse,MIRAFLORES,0.3012,2024-03-09
Embalse,MUNA,0.29903,2024-03-09
Embalse,PENOL,0.46019,2024-03-09
Embalse,PLAYAS,0.53032,2024-03-09
Embalse,PORCE II,0.44377,2024-03-09
Embalse,PORCE III,0.42957,2024-03-09
Embalse,PRADO,0.2918,2024-03-09
Embalse,PUNCHINA,0.1735,2024-03-09
Embalse,RIOGRANDE2,0.27012,2024-03-09
Embalse,SALVAJINA,0.37277,2024-03-09
Embalse,SAN LORENZO,0.38443,2024-03-09
Embalse,TOPOCORO,0.34578,2024-03-09
Embalse,TRONERAS,0.36776,2024-03-09
Embalse,URRA1,0.58919,2024-03-09
Embalse,AGREGADO BOGOTA,0.5638,2024-03-10
Embalse,ALTOANCHICAYA,0.06737,2024-03-10
Embalse,AMANI,0.42806,2024-03-10
Embalse,BETANIA,0.75966,2024-03-10
Embalse,CALIMA1,0.53977,2024-03-10
Embalse,CHUZA,0.20289,2024-03-10
Embalse,EL QUIMBO,0.26329,2024-03-10
Embalse,ESMERALDA,0.31066,2024-03-10
Embalse,GUAVIO,0.1445,2024-03-10
Embalse,ITUANGO,0.08853,2024-03-10
Embalse,MIRAFLORES,0.29434,2024-03-10
Embalse,MUNA,0.25166,2024-03-10
Embalse,PENOL,0.455,2024-03-10
Embalse,PLAYAS,0.53057,2024-03-10
Embalse,PORCE II,0.46426,2024-03-10
Embalse,PORCE III,0.47384,2024-03-10
Embalse,PRADO,0.28448,2024-03-10
Embalse,PUNCHINA,0.44171,2024-03-10
Embalse,RIOGRANDE2,0.27238,2024-03-10
Embalse,SALVAJINA,0.36759,2024-03-10
Embalse,SAN LORENZO,0.36307,2024-03-10
Embalse,TOPOCORO,0.33986,2024-03-10
Embalse,TRONERAS,0.21542,2024-03-10
Embalse,URRA1,0.58186,2024-03-10
Embalse,AGREGADO BOGOTA,0.56273,2024-03-11
Embalse,ALTOANCHICAYA,0.02714,2024-03-11
Embalse,AMANI,0.4159,2024-03-11
Embalse,BETANIA,0.76034,2024-03-11
Embalse,CALIMA1,0.52998,2024-03-11
Embalse,CHUZA,0.20159,2024-03-11
Embalse,EL QUIMBO,0.25777,2024-03-11
Embalse,ESMERALDA,0.30705,2024-03-11
Embalse,GUAVIO,0.14479,2024-03-11
Embalse,ITUANGO,0.08241,2024-03-11
Embalse,MIRAFLORES,0.28712,2024-03-11
Embalse,MUNA,0.36294,2024-03-11
Embalse,PENOL,0.4536,2024-03-11
Embalse,PLAYAS,0.53244,2024-03-11
Embalse,PORCE II,0.32189,2024-03-11
Embalse,PORCE III,0.44636,2024-03-11
Embalse,PRADO,0.27252,2024-03-11
Embalse,PUNCHINA,0.33265,2024-03-11
Embalse,RIOGRANDE2,0.27464,2024-03-11
Embalse,SALVAJINA,0.36246,2024-03-11
Embalse,SAN LORENZO,0.378,2024-03-11
Embalse,TOPOCORO,0.33342,2024-03-11
Embalse,TRONERAS,0.34359,2024-03-11
Embalse,URRA1,0.57482,2024-03-11
Embalse,AGREGADO BOGOTA,0.5617,2024-03-12
Embalse,ALTOANCHICAYA,0.02308,2024-03-12
Embalse,AMANI,0.39324,2024-03-12
Embalse,BETANIA,0.75283,2024-03-12
Embalse,CALIMA1,0.52099,2024-03-12
Embalse,CHUZA,0.20416,2024-03-12
Embalse,EL QUIMBO,0.25531,2024-03-12
Embalse,ESMERALDA,0.29169,2024-03-12
Embalse,GUAVIO,0.13853,2024-03-12
Embalse,ITUANGO,0.07957,2024-03-12
Embalse,MIRAFLORES,0.28078,2024-03-12
Embalse,MUNA,0.43925,2024-03-12
Embalse,PENOL,0.44829,2024-03-12
Embalse,PLAYAS,0.7693,2024-03-12
Embalse,PORCE II,0.38891,2024-03-12
Embalse,PORCE III,0.31923,2024-03-12
Embalse,PRADO,0.26358,2024-03-12
Embalse,PUNCHINA,0.18852,2024-03-12
Embalse,RIOGRANDE2,0.25597,2024-03-12
Embalse,SALVAJINA,0.35777,2024-03-12
Embalse,SAN LORENZO,0.37118,2024-03-12
Embalse,TOPOCORO,0.32638,2024-03-12
Embalse,TRONERAS,0.46573,2024-03-12
Embalse,URRA1,0.57176,2024-03-12
Embalse,AGREGADO BOGOTA,0.56058,2024-03-13
Embalse,AMANI,0.36863,2024-03-13
Embalse,BETANIA,0.7576,2024-03-13
Embalse,CALIMA1,0.51904,2024-03-13
