departamento,municipio,tiempo_establecimiento,topografia,drenaje,riego,fertilizacion,pH,materia_organica,fosforo,azufre,acidez,aluminio,calcio,magnesio,potasio,sodio,CICE,conductividad,hierro,cobre,manganeso,zinc,boro
Meta,Acacías,Mas de 10 años,Plano,Bueno,No cuenta con riego,Aplica fertilizantes,5.1499999999999995,2.0987491380862053,12.096664788732394,5.261780104712042,1.2341641511554162,1.0050108073871653,1.6416898700000002,0.45746280999999994,0.11338002,0.14,3.546696851155416,0.16169039999999998,415.316,2.743,8.690999999999999,14.761,0.1523605150214592
Meta,Acacías,De 5 a 10 años,Plano,Bueno,No cuenta con riego,Aplica fertilizantes,4.79,1.222104578873766,7.819481690140844,3.298429319371728,1.3871597070837736,1.1155619961997538,2.0168423,0.37980094,0.09655588799999999,0.10583314,3.9861919750837735,0.1173048,324.654,1.7810000000000001,3.524,1.724,0.17381974248927037
Meta,Acacías,De 5 a 10 años,Pendiente,Regular,No cuenta con riego,Aplica fertilizantes,5.04,0.7255979258684907,3.8938478873239433,6.178010471204188,10.883083878370488,9.145598347223205,1.7575183200000002,0.9924064600000001,0.176850324,0.15415658999999998,13.964015572370489,0.089828,67.511,1.927,17.209,4.3,0.17381974248927037
Meta,Acacías,De 5 a 10 años,Pendiente,Regular,No cuenta con riego,No indica,5.14,0.5730255689554113,3.8645521126760554,3.821989528795812,11.55626432445526,9.29634996833128,1.9230816400000001,1.53622058,0.16790371199999998,0.11119177999999999,15.29466203645526,0.0903564,52.257999999999996,1.859,17.108,6.059,0.1094420600858369
Meta,Acacías,De 5 a 10 años,Pendiente,Bueno,No cuenta con riego,Aplica fertilizantes,4.78,0.7980051460984265,7.336101408450704,5.654450261780105,2.6009244507820757,2.401975829655325,0.55,0.26738131,0.097681248,0.14,3.615987008782076,0.0956404,335.02700000000004,1,3.927,1,0.2167381974248927
Meta,Acacías,De 1 a 5 años,Pendiente,Regular,No cuenta con riego,Aplica fertilizantes,5.17,1.3333013813697392,3.5276507042253518,3.167539267015707,3.702492453466249,3.3466859885992606,2.56304755,0.95095059,0.081476064,0.14,7.397966657466249,0.11043559999999998,386.254,1.139,4.128,1,0.13090128755364808
Meta,Acacías,De 5 a 10 años,Pendiente,Regular,No cuenta con riego,No indica,4.819999999999999,1.8970433103028124,3.87,2.905759162303665,8.210761501488513,7.10542640822726,0.55,0.25670054000000003,0.185065452,0.14,9.302527493488512,0.1114924,348.77700000000004,2.824,17.587,1,0.1094420600858369
Meta,Acacías,Mas de 10 años,Pendiente,Regular,No cuenta con riego,No indica,4.7,1.1626272193991756,3.87,3.0366492146596857,8.567751131988013,8.180787972131526,1.6774814100000002,0.42451534999999996,0.138925692,0.16764888,10.976322463988012,0.1236456,249.61200000000002,2.343,11.120000000000001,1.026,0.1094420600858369
Meta,Acacías,De 5 a 10 años,Plano,Bueno,No cuenta con riego,No indica,4.63,1.4134665180528827,3.87,4.607329842931937,2.458128598582275,2.1607732358824054,1.5450746700000002,0.33925022000000005,0.08085711599999999,0.14,4.523310604582275,0.1146628,572.4839999999999,1.8079999999999998,5.117000000000001,1,0.2167381974248927
Meta,Acacías,De 1 a 5 años,Pendiente,Bueno,No cuenta con riego,No indica,5.08,1.6824076217640735,4.2746929577464785,3.298429319371728,3.376101934152419,3.0652829625308544,5.0676868200000005,1.10772257,0.12283304399999999,0.37520049,10.04954485815242,0.1828264,331.111,3.147,8.843,3.357,0.1094420600858369
Meta,Acacías,De 5 a 10 años,Pendiente,Bueno,No cuenta con riego,No indica,4.73,1.2479643003844574,3.87,2.905759162303665,7.925169797088912,7.3365788939263075,0.8113481,0.2,0.098694072,0.14,9.11521196908891,0.10568,427.658,2.494,3.14,1,0.1094420600858369
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,No indica,5.34,2.3245963221572747,5.793945491803278,1.699438202247191,0.7053240797521817,0.534788892603281,2.93369859,0.6625698,0.07371108,0.10095295,4.476256499752181,0.1759572,342.012,3.0149999999999997,14.251000000000001,1,0.18689533861037821
Meta,Granada,Mas de 10 años,Plano,Bueno,Cuenta con riego,No indica,5.159999999999999,1.552700334556104,5.880256967213113,6.0533707865168545,1.4422298347171478,1.2163825792545213,1.23173401,0.30376834,0.1477035,0.14,3.225435684717148,0.1199468,245.44299999999998,1.568,8.003,1,0.14291996481970098
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,No indica,5.08,1.7080504704255215,16.194478278688525,1.8398876404494384,1.0737769572346647,0.9227729911586026,2.42504152,0.6498977,0.148378716,0.11425386,4.411348753234664,0.1326284,288.376,2.2,10.241,1,0.14291996481970098
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,Aplica fertilizantes,4.76,1.5041534170969106,19.531855327868847,3.1039325842696632,1.3159031338660108,1.0486056717711392,3.15635271,0.68012971,0.22636616399999998,0.10229260999999999,5.481044327866011,0.4132088,381.39200000000005,2.515,13.892,2.063,0.18689533861037821
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,No indica,5.319999999999999,1.846409185184223,11.317879918032784,2.1207865168539324,0.3473984273406268,0.24117930450736202,2.4277862700000004,0.5316851100000001,0.121032468,0.14,3.5279022753406277,0.22087119999999996,191.565,1.52,6.6739999999999995,1,0.16490765171503957
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,No indica,4.819999999999999,2.6741341278634656,10.483535655737704,3.3848314606741576,2.20019003982397,1.9084623226234734,1.9960919900000003,0.45366118,0.09019760399999999,0.14,4.84014081382397,0.27265439999999996,383.526,2.0549999999999997,16.009,1,0.16490765171503957
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,No indica,4.930000000000001,1.807571651216868,12.396773360655738,5.632022471910112,1.3790664842915792,1.0800638419242734,2.15012736,0.69225872,0.264628404,0.13176512999999998,4.6178460982915785,0.2752964,252.49399999999997,1.9289999999999998,24.573,1,0.18689533861037821
Meta,Granada,Mas de 10 años,Plano,Bueno,Cuenta con riego,No indica,5.31,2.467809728661895,6.470052049180326,1.9803370786516856,1.242212558369514,1.0486056717711392,3.33937264,0.5727789200000001,0.098525268,0.1110004,5.363889786369514,0.1321,469.15,2.5069999999999997,9.052,1,0.2088830255057168
Meta,Granada,De 5 a 10 años,Plano,Bueno,Cuenta con riego,Aplica fertilizantes,5.37,1.7493153502658365,26.681322540983604,3.946629213483146,0.726378529894038,0.5662470627564152,2.2674928700000003,0.36730987,0.060037955999999996,0.14,3.5212192258940385,0.1389692,417.043,2.6479999999999997,6.73,1,0.31882145998240985
